ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
485,2011,US,National,BRFSS,Obesity / Weight Status,30.3,8,412,2 or more races,RACE2PLUS,0
26663,2011,AL,Alabama,BRFSS,Obesity / Weight Status,27.8,58,2 or more races,RACE2PLUS,1
37228,2011,AK,Alaska,BRFSS,Obesity / Weight Status,23.3,128,2 or more races,RACE2PLUS,2
36152,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,20.8,82,2 or more races,RACE2PLUS,4
1698,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,26.4,80,2 or more races,RACE2PLUS,5
24297,2011,CA,California,BRFSS,Obesity / Weight Status,26.9,315,2 or more races,RACE2PLUS,6
28865,2011,CO,Colorado,BRFSS,Obesity / Weight Status,23,197,2 or more races,RACE2PLUS,8
13097,2011,CT,Connecticut,BRFSS,Obesity / Weight Status,30.1,57,2 or more races,RACE2PLUS,9
34808,2011,DE,Delaware,BRFSS,Obesity / Weight Status,36.5,77,2 or more races,RACE2PLUS,10
39252,2011,DC,District of Columbia,BRFSS,Obesity / Weight Status,32.2,64,2 or more races,RACE2PLUS,11
9599,2011,FL,Florida,BRFSS,Obesity / Weight Status,26.7,180,2 or more races,RACE2PLUS,12
28806,2011,GA,Georgia,BRFSS,Obesity / Weight Status,27.1,109,2 or more races,RACE2PLUS,13
29302,2011,HI,Hawaii,BRFSS,Obesity / Weight Status,32.5,1,531,2 or more races,RACE2PLUS,15
38324,2011,ID,Idaho,BRFSS,Obesity / Weight Status,34.9,84,2 or more races,RACE2PLUS,16
37924,2011,IL,Illinois,BRFSS,Obesity / Weight Status,33.4,55,2 or more races,RACE2PLUS,17
1738,2011,IN,Indiana,BRFSS,Obesity / Weight Status,45.4,103,2 or more races,RACE2PLUS,18
21574,2011,IA,Iowa,BRFSS,Obesity / Weight Status,33.7,53,2 or more races,RACE2PLUS,19
32574,2011,KS,Kansas,BRFSS,Obesity / Weight Status,33.5,282,2 or more races,RACE2PLUS,20
38799,2011,KY,Kentucky,BRFSS,Obesity / Weight Status,45.2,212,2 or more races,RACE2PLUS,21
25554,2011,LA,Louisiana,BRFSS,Obesity / Weight Status,23,106,2 or more races,RACE2PLUS,22
25694,2011,ME,Maine,BRFSS,Obesity / Weight Status,29.9,132,2 or more races,RACE2PLUS,23
23543,2011,MD,Maryland,BRFSS,Obesity / Weight Status,27.5,122,2 or more races,RACE2PLUS,24
6662,2011,MA,Massachusetts,BRFSS,Obesity / Weight Status,26,210,2 or more races,RACE2PLUS,25
31844,2011,MI,Michigan,BRFSS,Obesity / Weight Status,35.3,256,2 or more races,RACE2PLUS,26
39005,2011,MN,Minnesota,BRFSS,Obesity / Weight Status,31,114,2 or more races,RACE2PLUS,27
3179,2011,MS,Mississippi,BRFSS,Obesity / Weight Status,~,~,2 or more races,RACE2PLUS,28
6001,2011,MO,Missouri,BRFSS,Obesity / Weight Status,32.2,129,2 or more races,RACE2PLUS,29
2900,2011,MT,Montana,BRFSS,Obesity / Weight Status,29.9,219,2 or more races,RACE2PLUS,30
11995,2011,NE,Nebraska,BRFSS,Obesity / Weight Status,31.5,244,2 or more races,RACE2PLUS,31
11642,2011,NV,Nevada,BRFSS,Obesity / Weight Status,37.3,137,2 or more races,RACE2PLUS,32
12537,2011,NH,New Hampshire,BRFSS,Obesity / Weight Status,~,~,2 or more races,RACE2PLUS,33
18919,2011,NJ,New Jersey,BRFSS,Obesity / Weight Status,28.9,77,2 or more races,RACE2PLUS,34
11158,2011,NM,New Mexico,BRFSS,Obesity / Weight Status,9.7,72,2 or more races,RACE2PLUS,35
28254,2011,NY,New York,BRFSS,Obesity / Weight Status,36.1,84,2 or more races,RACE2PLUS,36
14322,2011,NC,North Carolina,BRFSS,Obesity / Weight Status,22.8,134,2 or more races,RACE2PLUS,37
35738,2011,ND,North Dakota,BRFSS,Obesity / Weight Status,~,~,2 or more races,RACE2PLUS,38
14450,2011,OH,Ohio,BRFSS,Obesity / Weight Status,28.3,111,2 or more races,RACE2PLUS,39
19681,2011,OK,Oklahoma,BRFSS,Obesity / Weight Status,32.9,568,2 or more races,RACE2PLUS,40
16371,2011,OR,Oregon,BRFSS,Obesity / Weight Status,32.6,454,2 or more races,RACE2PLUS,41
21449,2011,PA,Pennsylvania,BRFSS,Obesity / Weight Status,37.3,125,2 or more races,RACE2PLUS,42
17028,2011,RI,Rhode Island,BRFSS,Obesity / Weight Status,~,~,2 or more races,RACE2PLUS,44
6290,2011,SC,South Carolina,BRFSS,Obesity / Weight Status,37.3,188,2 or more races,RACE2PLUS,45
38294,2011,SD,South Dakota,BRFSS,Obesity / Weight Status,25.3,87,2 or more races,RACE2PLUS,46
19950,2011,TN,Tennessee,BRFSS,Obesity / Weight Status,31,66,2 or more races,RACE2PLUS,47
16723,2011,TX,Texas,BRFSS,Obesity / Weight Status,28.3,175,2 or more races,RACE2PLUS,48
24005,2011,UT,Utah,BRFSS,Obesity / Weight Status,28,98,2 or more races,RACE2PLUS,49
39389,2011,VT,Vermont,BRFSS,Obesity / Weight Status,37.6,64,2 or more races,RACE2PLUS,50
21395,2011,VA,Virginia,BRFSS,Obesity / Weight Status,30,86,2 or more races,RACE2PLUS,51
4708,2011,WA,Washington,BRFSS,Obesity / Weight Status,28.4,351,2 or more races,RACE2PLUS,53
11711,2011,WV,West Virginia,BRFSS,Obesity / Weight Status,42.9,57,2 or more races,RACE2PLUS,54
16114,2011,WI,Wisconsin,BRFSS,Obesity / Weight Status,~,~,2 or more races,RACE2PLUS,55
31768,2011,WY,Wyoming,BRFSS,Obesity / Weight Status,19.5,85,2 or more races,RACE2PLUS,56
