ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
855,2011,US,National,BRFSS,Obesity / Weight Status,35.4,6,649,American Indian / Alaska Native,RACENAA,0
20854,2011,AL,Alabama,BRFSS,Obesity / Weight Status,32.9,61,American Indian / Alaska Native,RACENAA,1
6919,2011,AK,Alaska,BRFSS,Obesity / Weight Status,30.9,477,American Indian / Alaska Native,RACENAA,2
24708,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,34.2,270,American Indian / Alaska Native,RACENAA,4
20575,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,19.3,58,American Indian / Alaska Native,RACENAA,5
36707,2011,CA,California,BRFSS,Obesity / Weight Status,37.3,151,American Indian / Alaska Native,RACENAA,6
26034,2011,CO,Colorado,BRFSS,Obesity / Weight Status,30.7,89,American Indian / Alaska Native,RACENAA,8
17729,2011,CT,Connecticut,BRFSS,Obesity / Weight Status,~,~,American Indian / Alaska Native,RACENAA,9
8516,2011,DE,Delaware,BRFSS,Obesity / Weight Status,~,~,American Indian / Alaska Native,RACENAA,10
16550,2011,DC,District of Columbia,BRFSS,Obesity / Weight Status,~,~,American Indian / Alaska Native,RACENAA,11
17761,2011,FL,Florida,BRFSS,Obesity / Weight Status,22.3,96,American Indian / Alaska Native,RACENAA,12
36577,2011,GA,Georgia,BRFSS,Obesity / Weight Status,31.6,53,American Indian / Alaska Native,RACENAA,13
37888,2011,HI,Hawaii,BRFSS,Obesity / Weight Status,~,~,American Indian / Alaska Native,RACENAA,15
19787,2011,ID,Idaho,BRFSS,Obesity / Weight Status,28.6,71,American Indian / Alaska Native,RACENAA,16
28308,2011,IL,Illinois,BRFSS,Obesity / Weight Status,~,~,American Indian / Alaska Native,RACENAA,17
29408,2011,IN,Indiana,BRFSS,Obesity / Weight Status,37.9,65,American Indian / Alaska Native,RACENAA,18
24742,2011,IA,Iowa,BRFSS,Obesity / Weight Status,~,~,American Indian / Alaska Native,RACENAA,19
12778,2011,KS,Kansas,BRFSS,Obesity / Weight Status,32.8,149,American Indian / Alaska Native,RACENAA,20
18073,2011,KY,Kentucky,BRFSS,Obesity / Weight Status,25.9,57,American Indian / Alaska Native,RACENAA,21
28715,2011,LA,Louisiana,BRFSS,Obesity / Weight Status,39.6,74,American Indian / Alaska Native,RACENAA,22
13775,2011,ME,Maine,BRFSS,Obesity / Weight Status,29,147,American Indian / Alaska Native,RACENAA,23
26428,2011,MD,Maryland,BRFSS,Obesity / Weight Status,~,~,American Indian / Alaska Native,RACENAA,24
28895,2011,MA,Massachusetts,BRFSS,Obesity / Weight Status,42.4,85,American Indian / Alaska Native,RACENAA,25
34545,2011,MI,Michigan,BRFSS,Obesity / Weight Status,38.6,148,American Indian / Alaska Native,RACENAA,26
22121,2011,MN,Minnesota,BRFSS,Obesity / Weight Status,38.3,123,American Indian / Alaska Native,RACENAA,27
16596,2011,MS,Mississippi,BRFSS,Obesity / Weight Status,~,~,American Indian / Alaska Native,RACENAA,28
26011,2011,MO,Missouri,BRFSS,Obesity / Weight Status,37,53,American Indian / Alaska Native,RACENAA,29
25370,2011,MT,Montana,BRFSS,Obesity / Weight Status,36.1,618,American Indian / Alaska Native,RACENAA,30
28969,2011,NE,Nebraska,BRFSS,Obesity / Weight Status,44.7,267,American Indian / Alaska Native,RACENAA,31
39358,2011,NV,Nevada,BRFSS,Obesity / Weight Status,59.2,55,American Indian / Alaska Native,RACENAA,32
6509,2011,NH,New Hampshire,BRFSS,Obesity / Weight Status,~,~,American Indian / Alaska Native,RACENAA,33
15256,2011,NJ,New Jersey,BRFSS,Obesity / Weight Status,26.1,52,American Indian / Alaska Native,RACENAA,34
6256,2011,NM,New Mexico,BRFSS,Obesity / Weight Status,36.8,576,American Indian / Alaska Native,RACENAA,35
3169,2011,NY,New York,BRFSS,Obesity / Weight Status,~,~,American Indian / Alaska Native,RACENAA,36
16586,2011,NC,North Carolina,BRFSS,Obesity / Weight Status,37.7,228,American Indian / Alaska Native,RACENAA,37
6338,2011,ND,North Dakota,BRFSS,Obesity / Weight Status,44.1,132,American Indian / Alaska Native,RACENAA,38
27105,2011,OH,Ohio,BRFSS,Obesity / Weight Status,48.2,52,American Indian / Alaska Native,RACENAA,39
15118,2011,OK,Oklahoma,BRFSS,Obesity / Weight Status,40.8,493,American Indian / Alaska Native,RACENAA,40
13898,2011,OR,Oregon,BRFSS,Obesity / Weight Status,~,~,American Indian / Alaska Native,RACENAA,41
20129,2011,PA,Pennsylvania,BRFSS,Obesity / Weight Status,~,~,American Indian / Alaska Native,RACENAA,42
1891,2011,RI,Rhode Island,BRFSS,Obesity / Weight Status,~,~,American Indian / Alaska Native,RACENAA,44
26615,2011,SC,South Carolina,BRFSS,Obesity / Weight Status,37.2,79,American Indian / Alaska Native,RACENAA,45
5825,2011,SD,South Dakota,BRFSS,Obesity / Weight Status,44.7,817,American Indian / Alaska Native,RACENAA,46
9471,2011,TN,Tennessee,BRFSS,Obesity / Weight Status,~,~,American Indian / Alaska Native,RACENAA,47
4005,2011,TX,Texas,BRFSS,Obesity / Weight Status,47.6,106,American Indian / Alaska Native,RACENAA,48
3886,2011,UT,Utah,BRFSS,Obesity / Weight Status,42.3,85,American Indian / Alaska Native,RACENAA,49
26657,2011,VT,Vermont,BRFSS,Obesity / Weight Status,27.9,59,American Indian / Alaska Native,RACENAA,50
21215,2011,VA,Virginia,BRFSS,Obesity / Weight Status,~,~,American Indian / Alaska Native,RACENAA,51
