"ID","Description","LocationAbbr","LocationDesc","DataSource","Topic","Data_Value","Sample_Size","Stratification1","StratificationId1","LocationDisplayOrder"
"978","2011","US","National","BRFSS","Obesity / Weight Status","8.7","8,355","Asian","RACEASN","0"
"29303","2011","AL","Alabama","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","1"
"2846","2011","AK","Alaska","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","2"
"2313","2011","AZ","Arizona","BRFSS","Obesity / Weight Status","13","64","Asian","RACEASN","4"
"2530","2011","AR","Arkansas","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","5"
"13558","2011","CA","California","BRFSS","Obesity / Weight Status","8.1","889","Asian","RACEASN","6"
"24046","2011","CO","Colorado","BRFSS","Obesity / Weight Status","7.7","132","Asian","RACEASN","8"
"30669","2011","CT","Connecticut","BRFSS","Obesity / Weight Status","6.3","164","Asian","RACEASN","9"
"18958","2011","DE","Delaware","BRFSS","Obesity / Weight Status","2.1","63","Asian","RACEASN","10"
"2462","2011","DC","District of Columbia","BRFSS","Obesity / Weight Status","0.9","91","Asian","RACEASN","11"
"24142","2011","FL","Florida","BRFSS","Obesity / Weight Status","6.2","107","Asian","RACEASN","12"
"28109","2011","GA","Georgia","BRFSS","Obesity / Weight Status","5.4","104","Asian","RACEASN","13"
"37252","2011","HI","Hawaii","BRFSS","Obesity / Weight Status","16","2,504","Asian","RACEASN","15"
"34373","2011","ID","Idaho","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","16"
"32456","2011","IL","Illinois","BRFSS","Obesity / Weight Status","4.6","95","Asian","RACEASN","17"
"38604","2011","IN","Indiana","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","18"
"27505","2011","IA","Iowa","BRFSS","Obesity / Weight Status","3","57","Asian","RACEASN","19"
"20164","2011","KS","Kansas","BRFSS","Obesity / Weight Status","8.9","162","Asian","RACEASN","20"
"17857","2011","KY","Kentucky","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","21"
"27275","2011","LA","Louisiana","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","22"
"10475","2011","ME","Maine","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","23"
"15199","2011","MD","Maryland","BRFSS","Obesity / Weight Status","8.8","163","Asian","RACEASN","24"
"31106","2011","MA","Massachusetts","BRFSS","Obesity / Weight Status","4.8","416","Asian","RACEASN","25"
"38344","2011","MI","Michigan","BRFSS","Obesity / Weight Status","6.9","102","Asian","RACEASN","26"
"7893","2011","MN","Minnesota","BRFSS","Obesity / Weight Status","9.1","217","Asian","RACEASN","27"
"39525","2011","MS","Mississippi","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","28"
"23810","2011","MO","Missouri","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","29"
"28720","2011","MT","Montana","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","30"
"3163","2011","NE","Nebraska","BRFSS","Obesity / Weight Status","9.5","136","Asian","RACEASN","31"
"21755","2011","NV","Nevada","BRFSS","Obesity / Weight Status","9.2","125","Asian","RACEASN","32"
"13984","2011","NH","New Hampshire","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","33"
"15058","2011","NJ","New Jersey","BRFSS","Obesity / Weight Status","10.2","539","Asian","RACEASN","34"
"22665","2011","NM","New Mexico","BRFSS","Obesity / Weight Status","1.9","55","Asian","RACEASN","35"
"19757","2011","NY","New York","BRFSS","Obesity / Weight Status","9.9","245","Asian","RACEASN","36"
"24221","2011","NC","North Carolina","BRFSS","Obesity / Weight Status","6.5","84","Asian","RACEASN","37"
"23622","2011","ND","North Dakota","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","38"
"25277","2011","OH","Ohio","BRFSS","Obesity / Weight Status","11.2","70","Asian","RACEASN","39"
"14269","2011","OK","Oklahoma","BRFSS","Obesity / Weight Status","14.7","66","Asian","RACEASN","40"
"25762","2011","OR","Oregon","BRFSS","Obesity / Weight Status","14","65","Asian","RACEASN","41"
"25150","2011","PA","Pennsylvania","BRFSS","Obesity / Weight Status","3.2","108","Asian","RACEASN","42"
"10385","2011","RI","Rhode Island","BRFSS","Obesity / Weight Status","6","83","Asian","RACEASN","44"
"25770","2011","SC","South Carolina","BRFSS","Obesity / Weight Status","4.8","52","Asian","RACEASN","45"
"16312","2011","SD","South Dakota","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","46"
"12296","2011","TN","Tennessee","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","47"
"13624","2011","TX","Texas","BRFSS","Obesity / Weight Status","10.5","307","Asian","RACEASN","48"
"29632","2011","UT","Utah","BRFSS","Obesity / Weight Status","13.1","120","Asian","RACEASN","49"
"14813","2011","VT","Vermont","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","50"
"23907","2011","VA","Virginia","BRFSS","Obesity / Weight Status","11.5","116","Asian","RACEASN","51"
"30271","2011","WA","Washington","BRFSS","Obesity / Weight Status","8.1","309","Asian","RACEASN","53"
"28792","2011","WV","West Virginia","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","54"
"22566","2011","WI","Wisconsin","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","55"
"9285","2011","WY","Wyoming","BRFSS","Obesity / Weight Status","~","~","Asian","RACEASN","56"
