ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
1995,2011,US,National,BRFSS,Obesity / Weight Status,26.2,371,669,Non-Hispanic White,RACEWHT,0
22464,2011,AL,Alabama,BRFSS,Obesity / Weight Status,29.8,5,042,Non-Hispanic White,RACEWHT,1
37104,2011,AK,Alaska,BRFSS,Obesity / Weight Status,25.9,2,425,Non-Hispanic White,RACEWHT,2
4381,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,21.2,4,499,Non-Hispanic White,RACEWHT,4
4326,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,31,3,563,Non-Hispanic White,RACEWHT,5
2923,2011,CA,California,BRFSS,Obesity / Weight Status,22,10,988,Non-Hispanic White,RACEWHT,6
21006,2011,CO,Colorado,BRFSS,Obesity / Weight Status,18.9,10,641,Non-Hispanic White,RACEWHT,8
22073,2011,CT,Connecticut,BRFSS,Obesity / Weight Status,23,5,100,Non-Hispanic White,RACEWHT,9
21084,2011,DE,Delaware,BRFSS,Obesity / Weight Status,27.2,3,501,Non-Hispanic White,RACEWHT,10
2278,2011,DC,District of Columbia,BRFSS,Obesity / Weight Status,10.7,1,939,Non-Hispanic White,RACEWHT,11
37732,2011,FL,Florida,BRFSS,Obesity / Weight Status,24.9,9,025,Non-Hispanic White,RACEWHT,12
8134,2011,GA,Georgia,BRFSS,Obesity / Weight Status,25,6,482,Non-Hispanic White,RACEWHT,13
30623,2011,HI,Hawaii,BRFSS,Obesity / Weight Status,19,2,475,Non-Hispanic White,RACEWHT,15
7195,2011,ID,Idaho,BRFSS,Obesity / Weight Status,25.9,5,216,Non-Hispanic White,RACEWHT,16
24052,2011,IL,Illinois,BRFSS,Obesity / Weight Status,26,4,355,Non-Hispanic White,RACEWHT,17
38262,2011,IN,Indiana,BRFSS,Obesity / Weight Status,29.5,6,518,Non-Hispanic White,RACEWHT,18
38374,2011,IA,Iowa,BRFSS,Obesity / Weight Status,29.2,6,413,Non-Hispanic White,RACEWHT,19
2258,2011,KS,Kansas,BRFSS,Obesity / Weight Status,29.1,17,317,Non-Hispanic White,RACEWHT,20
23856,2011,KY,Kentucky,BRFSS,Obesity / Weight Status,29.5,8,386,Non-Hispanic White,RACEWHT,21
29924,2011,LA,Louisiana,BRFSS,Obesity / Weight Status,31,7,208,Non-Hispanic White,RACEWHT,22
37434,2011,ME,Maine,BRFSS,Obesity / Weight Status,27.9,11,959,Non-Hispanic White,RACEWHT,23
25900,2011,MD,Maryland,BRFSS,Obesity / Weight Status,25.9,6,820,Non-Hispanic White,RACEWHT,24
2810,2011,MA,Massachusetts,BRFSS,Obesity / Weight Status,22.1,16,463,Non-Hispanic White,RACEWHT,25
19087,2011,MI,Michigan,BRFSS,Obesity / Weight Status,29.7,8,380,Non-Hispanic White,RACEWHT,26
7833,2011,MN,Minnesota,BRFSS,Obesity / Weight Status,25.9,12,933,Non-Hispanic White,RACEWHT,27
10539,2011,MS,Mississippi,BRFSS,Obesity / Weight Status,30.7,5,480,Non-Hispanic White,RACEWHT,28
16891,2011,MO,Missouri,BRFSS,Obesity / Weight Status,29.4,5,161,Non-Hispanic White,RACEWHT,29
24099,2011,MT,Montana,BRFSS,Obesity / Weight Status,24.1,8,715,Non-Hispanic White,RACEWHT,30
33157,2011,NE,Nebraska,BRFSS,Obesity / Weight Status,28.3,21,949,Non-Hispanic White,RACEWHT,31
33225,2011,NV,Nevada,BRFSS,Obesity / Weight Status,21.9,4,037,Non-Hispanic White,RACEWHT,32
34663,2011,NH,New Hampshire,BRFSS,Obesity / Weight Status,26.5,5,675,Non-Hispanic White,RACEWHT,33
23726,2011,NJ,New Jersey,BRFSS,Obesity / Weight Status,23.1,10,027,Non-Hispanic White,RACEWHT,34
36496,2011,NM,New Mexico,BRFSS,Obesity / Weight Status,22.5,4,826,Non-Hispanic White,RACEWHT,35
32863,2011,NY,New York,BRFSS,Obesity / Weight Status,23.6,4,849,Non-Hispanic White,RACEWHT,36
36087,2011,NC,North Carolina,BRFSS,Obesity / Weight Status,26.2,8,107,Non-Hispanic White,RACEWHT,37
2277,2011,ND,North Dakota,BRFSS,Obesity / Weight Status,26.9,4,642,Non-Hispanic White,RACEWHT,38
17562,2011,OH,Ohio,BRFSS,Obesity / Weight Status,29.2,7,943,Non-Hispanic White,RACEWHT,39
20920,2011,OK,Oklahoma,BRFSS,Obesity / Weight Status,30.4,6,123,Non-Hispanic White,RACEWHT,40
