"ID","Description","LocationAbbr","LocationDesc","DataSource","Topic","Data_Value","Sample_Size","Stratification1","StratificationId1","LocationDisplayOrder"
"1095","2011","US","National","BRFSS","Obesity / Weight Status","27.8","191,988","Male","MALE","0"
"36636","2011","AL","Alabama","BRFSS","Obesity / Weight Status","32.3","2,581","Male","MALE","1"
"9411","2011","AK","Alaska","BRFSS","Obesity / Weight Status","28","1,620","Male","MALE","2"
"32450","2011","AZ","Arizona","BRFSS","Obesity / Weight Status","24.4","2,474","Male","MALE","4"
"2936","2011","AR","Arkansas","BRFSS","Obesity / Weight Status","30.7","1,681","Male","MALE","5"
"2912","2011","CA","California","BRFSS","Obesity / Weight Status","23.1","7,159","Male","MALE","6"
"12210","2011","CO","Colorado","BRFSS","Obesity / Weight Status","21.1","5,700","Male","MALE","8"
"30441","2011","CT","Connecticut","BRFSS","Obesity / Weight Status","25.4","2,570","Male","MALE","9"
"10777","2011","DE","Delaware","BRFSS","Obesity / Weight Status","29","1,788","Male","MALE","10"
"32930","2011","DC","District of Columbia","BRFSS","Obesity / Weight Status","18.6","1,716","Male","MALE","11"
"9025","2011","FL","Florida","BRFSS","Obesity / Weight Status","27.7","4,828","Male","MALE","12"
"28066","2011","GA","Georgia","BRFSS","Obesity / Weight Status","26.7","3,455","Male","MALE","13"
"17876","2011","HI","Hawaii","BRFSS","Obesity / Weight Status","24.4","3,255","Male","MALE","15"
"4942","2011","ID","Idaho","BRFSS","Obesity / Weight Status","26.2","2,405","Male","MALE","16"
"27336","2011","IL","Illinois","BRFSS","Obesity / Weight Status","27.7","2,189","Male","MALE","17"
"27286","2011","IN","Indiana","BRFSS","Obesity / Weight Status","30.9","3,242","Male","MALE","18"
"14183","2011","IA","Iowa","BRFSS","Obesity / Weight Status","30.4","2,952","Male","MALE","19"
"27120","2011","KS","Kansas","BRFSS","Obesity / Weight Status","30","8,015","Male","MALE","20"
"36666","2011","KY","Kentucky","BRFSS","Obesity / Weight Status","29.6","3,629","Male","MALE","21"
"15583","2011","LA","Louisiana","BRFSS","Obesity / Weight Status","33","3,471","Male","MALE","22"
"26292","2011","ME","Maine","BRFSS","Obesity / Weight Status","28.1","5,106","Male","MALE","23"
"23748","2011","MD","Maryland","BRFSS","Obesity / Weight Status","28.7","3,696","Male","MALE","24"
"34689","2011","MA","Massachusetts","BRFSS","Obesity / Weight Status","24.1","8,221","Male","MALE","25"
"33950","2011","MI","Michigan","BRFSS","Obesity / Weight Status","31.9","4,391","Male","MALE","26"
"29042","2011","MN","Minnesota","BRFSS","Obesity / Weight Status","28.4","6,534","Male","MALE","27"
"11772","2011","MS","Mississippi","BRFSS","Obesity / Weight Status","32.4","3,062","Male","MALE","28"
"8890","2011","MO","Missouri","BRFSS","Obesity / Weight Status","29.8","2,444","Male","MALE","29"
"39466","2011","MT","Montana","BRFSS","Obesity / Weight Status","25.8","4,367","Male","MALE","30"
"25655","2011","NE","Nebraska","BRFSS","Obesity / Weight Status","29.2","10,102","Male","MALE","31"
"14561","2011","NV","Nevada","BRFSS","Obesity / Weight Status","25.5","2,200","Male","MALE","32"
"12344","2011","NH","New Hampshire","BRFSS","Obesity / Weight Status","28.3","2,514","Male","MALE","33"
"21530","2011","NJ","New Jersey","BRFSS","Obesity / Weight Status","25.6","5,844","Male","MALE","34"
"31028","2011","NM","New Mexico","BRFSS","Obesity / Weight Status","26.3","3,742","Male","MALE","35"
"34153","2011","NY","New York","BRFSS","Obesity / Weight Status","25.3","3,025","Male","MALE","36"
"19240","2011","NC","North Carolina","BRFSS","Obesity / Weight Status","28.3","4,224","Male","MALE","37"
"13083","2011","ND","North Dakota","BRFSS","Obesity / Weight Status","30","2,183","Male","MALE","38"
"2616","2011","OH","Ohio","BRFSS","Obesity / Weight Status","31.6","3,671","Male","MALE","39"
"4225","2011","OK","Oklahoma","BRFSS","Obesity / Weight Status","30.6","3,133","Male","MALE","40"
"9949","2011","OR","Oregon","BRFSS","Obesity / Weight Status","26.3","2,541","Male","MALE","41"
"32571","2011","PA","Pennsylvania","BRFSS","Obesity / Weight Status","29.5","4,535","Male","MALE","42"
"26543","2011","RI","Rhode Island","BRFSS","Obesity / Weight Status","27.6","2,454","Male","MALE","44"
"3715","2011","SC","South Carolina","BRFSS","Obesity / Weight Status","28.6","5,033","Male","MALE","45"
"18494","2011","SD","South Dakota","BRFSS","Obesity / Weight Status","29.9","3,281","Male","MALE","46"
"37022","2011","TN","Tennessee","BRFSS","Obesity / Weight Status","28","1,796","Male","MALE","47"
"9643","2011","TX","Texas","BRFSS","Obesity / Weight Status","30.9","5,519","Male","MALE","48"
"30657","2011","UT","Utah","BRFSS","Obesity / Weight Status","25.8","5,411","Male","MALE","49"
"15705","2011","VT","Vermont","BRFSS","Obesity / Weight Status","27.3","2,827","Male","MALE","50"
"23240","2011","VA","Virginia","BRFSS","Obesity / Weight Status","29.7","2,571","Male","MALE","51"
"29203","2011","WA","Washington","BRFSS","Obesity / Weight Status","27.9","5,835","Male","MALE","53"
"20906","2011","WV","West Virginia","BRFSS","Obesity / Weight Status","30.7","2,038","Male","MALE","54"
"34486","2011","WI","Wisconsin","BRFSS","Obesity / Weight Status","29.3","2,148","Male","MALE","55"
"2121","2011","WY","Wyoming","BRFSS","Obesity / Weight Status","26.1","2,810","Male","MALE","56"
