ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
539,2012,US,National,BRFSS,Obesity / Weight Status,9.7,8,252,Asian,RACEASN,0
14431,2012,AL,Alabama,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,1
12732,2012,AK,Alaska,BRFSS,Obesity / Weight Status,2.3,82,Asian,RACEASN,2
21866,2012,AZ,Arizona,BRFSS,Obesity / Weight Status,4.3,74,Asian,RACEASN,4
25012,2012,AR,Arkansas,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,5
22376,2012,CA,California,BRFSS,Obesity / Weight Status,10.3,799,Asian,RACEASN,6
19969,2012,CO,Colorado,BRFSS,Obesity / Weight Status,9.2,131,Asian,RACEASN,8
26158,2012,CT,Connecticut,BRFSS,Obesity / Weight Status,5.6,155,Asian,RACEASN,9
15488,2012,DE,Delaware,BRFSS,Obesity / Weight Status,2.9,55,Asian,RACEASN,10
21595,2012,DC,District of Columbia,BRFSS,Obesity / Weight Status,4.6,77,Asian,RACEASN,11
7496,2012,FL,Florida,BRFSS,Obesity / Weight Status,12.1,100,Asian,RACEASN,12
18838,2012,GA,Georgia,BRFSS,Obesity / Weight Status,8.5,87,Asian,RACEASN,13
1659,2012,HI,Hawaii,BRFSS,Obesity / Weight Status,16.7,2,329,Asian,RACEASN,15
28439,2012,ID,Idaho,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,16
23332,2012,IL,Illinois,BRFSS,Obesity / Weight Status,7.1,137,Asian,RACEASN,17
9629,2012,IN,Indiana,BRFSS,Obesity / Weight Status,14.7,61,Asian,RACEASN,18
32463,2012,IA,Iowa,BRFSS,Obesity / Weight Status,5.4,53,Asian,RACEASN,19
28506,2012,KS,Kansas,BRFSS,Obesity / Weight Status,11,111,Asian,RACEASN,20
25792,2012,KY,Kentucky,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,21
18249,2012,LA,Louisiana,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,22
27329,2012,ME,Maine,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,23
20396,2012,MD,Maryland,BRFSS,Obesity / Weight Status,8.6,222,Asian,RACEASN,24
37574,2012,MA,Massachusetts,BRFSS,Obesity / Weight Status,5.7,424,Asian,RACEASN,25
33154,2012,MI,Michigan,BRFSS,Obesity / Weight Status,14.8,98,Asian,RACEASN,26
19902,2012,MN,Minnesota,BRFSS,Obesity / Weight Status,11.7,141,Asian,RACEASN,27
34223,2012,MS,Mississippi,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,28
39276,2012,MO,Missouri,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,29
32088,2012,MT,Montana,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,30
31666,2012,NE,Nebraska,BRFSS,Obesity / Weight Status,9.3,94,Asian,RACEASN,31
31255,2012,NV,Nevada,BRFSS,Obesity / Weight Status,20.7,131,Asian,RACEASN,32
2088,2012,NH,New Hampshire,BRFSS,Obesity / Weight Status,2,60,Asian,RACEASN,33
38649,2012,NJ,New Jersey,BRFSS,Obesity / Weight Status,7.9,597,Asian,RACEASN,34
13811,2012,NM,New Mexico,BRFSS,Obesity / Weight Status,6.7,66,Asian,RACEASN,35
5774,2012,NY,New York,BRFSS,Obesity / Weight Status,7.8,196,Asian,RACEASN,36
6277,2012,NC,North Carolina,BRFSS,Obesity / Weight Status,11,102,Asian,RACEASN,37
15515,2012,ND,North Dakota,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,38
35838,2012,OH,Ohio,BRFSS,Obesity / Weight Status,9.1,114,Asian,RACEASN,39
32468,2012,OK,Oklahoma,BRFSS,Obesity / Weight Status,4.4,64,Asian,RACEASN,40
31643,2012,OR,Oregon,BRFSS,Obesity / Weight Status,12.7,72,Asian,RACEASN,41
25734,2012,PA,Pennsylvania,BRFSS,Obesity / Weight Status,9,198,Asian,RACEASN,42
6245,2012,RI,Rhode Island,BRFSS,Obesity / Weight Status,6.9,54,Asian,RACEASN,44
30636,2012,SC,South Carolina,BRFSS,Obesity / Weight Status,18.5,71,Asian,RACEASN,45
16688,2012,SD,South Dakota,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,46
37054,2012,TN,Tennessee,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,47
11504,2012,TX,Texas,BRFSS,Obesity / Weight Status,6.6,184,Asian,RACEASN,48
21581,2012,UT,Utah,BRFSS,Obesity / Weight Status,5.4,124,Asian,RACEASN,49
34863,2012,VT,Vermont,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,50
26894,2012,VA,Virginia,BRFSS,Obesity / Weight Status,8.8,150,Asian,RACEASN,51
9293,2012,WA,Washington,BRFSS,Obesity / Weight Status,9.1,395,Asian,RACEASN,53
1884,2012,WV,West Virginia,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,54
4114,2012,WI,Wisconsin,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,55
27682,2012,WY,Wyoming,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,56
