ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
968,2012,US,National,BRFSS,Obesity / Weight Status,37.7,37,713,Non-Hispanic Black,RACEBLK,0
31661,2012,AL,Alabama,BRFSS,Obesity / Weight Status,44.1,2,165,Non-Hispanic Black,RACEBLK,1
15100,2012,AK,Alaska,BRFSS,Obesity / Weight Status,39,55,Non-Hispanic Black,RACEBLK,2
37980,2012,AZ,Arizona,BRFSS,Obesity / Weight Status,35.4,120,Non-Hispanic Black,RACEBLK,4
19853,2012,AR,Arkansas,BRFSS,Obesity / Weight Status,41.9,732,Non-Hispanic Black,RACEBLK,5
28065,2012,CA,California,BRFSS,Obesity / Weight Status,36.6,622,Non-Hispanic Black,RACEBLK,6
28658,2012,CO,Colorado,BRFSS,Obesity / Weight Status,28.2,225,Non-Hispanic Black,RACEBLK,8
9027,2012,CT,Connecticut,BRFSS,Obesity / Weight Status,34.3,602,Non-Hispanic Black,RACEBLK,9
32633,2012,DE,Delaware,BRFSS,Obesity / Weight Status,34.5,697,Non-Hispanic Black,RACEBLK,10
25932,2012,DC,District of Columbia,BRFSS,Obesity / Weight Status,33.7,1,639,Non-Hispanic Black,RACEBLK,11
9639,2012,FL,Florida,BRFSS,Obesity / Weight Status,34.5,697,Non-Hispanic Black,RACEBLK,12
13855,2012,GA,Georgia,BRFSS,Obesity / Weight Status,36.4,1,391,Non-Hispanic Black,RACEBLK,13
37017,2012,HI,Hawaii,BRFSS,Obesity / Weight Status,40,72,Non-Hispanic Black,RACEBLK,15
39073,2012,ID,Idaho,BRFSS,Obesity / Weight Status,~,~,Non-Hispanic Black,RACEBLK,16
5292,2012,IL,Illinois,BRFSS,Obesity / Weight Status,39.2,495,Non-Hispanic Black,RACEBLK,17
30890,2012,IN,Indiana,BRFSS,Obesity / Weight Status,43.7,883,Non-Hispanic Black,RACEBLK,18
9400,2012,IA,Iowa,BRFSS,Obesity / Weight Status,45.1,84,Non-Hispanic Black,RACEBLK,19
23344,2012,KS,Kansas,BRFSS,Obesity / Weight Status,36.1,515,Non-Hispanic Black,RACEBLK,20
9571,2012,KY,Kentucky,BRFSS,Obesity / Weight Status,42,978,Non-Hispanic Black,RACEBLK,21
11091,2012,LA,Louisiana,BRFSS,Obesity / Weight Status,45.4,2,505,Non-Hispanic Black,RACEBLK,22
15647,2012,ME,Maine,BRFSS,Obesity / Weight Status,~,~,Non-Hispanic Black,RACEBLK,23
33699,2012,MD,Maryland,BRFSS,Obesity / Weight Status,37.4,2,297,Non-Hispanic Black,RACEBLK,24
36627,2012,MA,Massachusetts,BRFSS,Obesity / Weight Status,35.1,1,136,Non-Hispanic Black,RACEBLK,25
17613,2012,MI,Michigan,BRFSS,Obesity / Weight Status,37.8,1,602,Non-Hispanic Black,RACEBLK,26
9638,2012,MN,Minnesota,BRFSS,Obesity / Weight Status,28.9,410,Non-Hispanic Black,RACEBLK,27
2414,2012,MS,Mississippi,BRFSS,Obesity / Weight Status,43.2,2,452,Non-Hispanic Black,RACEBLK,28
28228,2012,MO,Missouri,BRFSS,Obesity / Weight Status,41.2,805,Non-Hispanic Black,RACEBLK,29
9831,2012,MT,Montana,BRFSS,Obesity / Weight Status,~,~,Non-Hispanic Black,RACEBLK,30
6830,2012,NE,Nebraska,BRFSS,Obesity / Weight Status,33.6,404,Non-Hispanic Black,RACEBLK,31
