"ID","Description","LocationAbbr","LocationDesc","DataSource","Topic","Data_Value","Sample_Size","Stratification1","StratificationId1","LocationDisplayOrder"
"2002","2012","US","National","BRFSS","Obesity / Weight Status","26.5","345,659","Non-Hispanic White","RACEWHT","0"
"26951","2012","AL","Alabama","BRFSS","Obesity / Weight Status","30.1","6,024","Non-Hispanic White","RACEWHT","1"
"3581","2012","AK","Alaska","BRFSS","Obesity / Weight Status","26","2,782","Non-Hispanic White","RACEWHT","2"
"16162","2012","AZ","Arizona","BRFSS","Obesity / Weight Status","23.1","5,108","Non-Hispanic White","RACEWHT","4"
"33251","2012","AR","Arkansas","BRFSS","Obesity / Weight Status","32.6","3,787","Non-Hispanic White","RACEWHT","5"
"29243","2012","CA","California","BRFSS","Obesity / Weight Status","23.3","8,313","Non-Hispanic White","RACEWHT","6"
"38330","2012","CO","Colorado","BRFSS","Obesity / Weight Status","18.7","9,386","Non-Hispanic White","RACEWHT","8"
"20247","2012","CT","Connecticut","BRFSS","Obesity / Weight Status","24.1","6,596","Non-Hispanic White","RACEWHT","9"
"1623","2012","DE","Delaware","BRFSS","Obesity / Weight Status","25.6","3,837","Non-Hispanic White","RACEWHT","10"
"4612","2012","DC","District of Columbia","BRFSS","Obesity / Weight Status","9.6","1,602","Non-Hispanic White","RACEWHT","11"
"18407","2012","FL","Florida","BRFSS","Obesity / Weight Status","23.5","5,283","Non-Hispanic White","RACEWHT","12"
"7838","2012","GA","Georgia","BRFSS","Obesity / Weight Status","26.3","3,814","Non-Hispanic White","RACEWHT","13"
"38894","2012","HI","Hawaii","BRFSS","Obesity / Weight Status","19.7","2,310","Non-Hispanic White","RACEWHT","15"
"23785","2012","ID","Idaho","BRFSS","Obesity / Weight Status","26","5,062","Non-Hispanic White","RACEWHT","16"
"14048","2012","IL","Illinois","BRFSS","Obesity / Weight Status","27.2","4,299","Non-Hispanic White","RACEWHT","17"
"32056","2012","IN","Indiana","BRFSS","Obesity / Weight Status","30.2","6,700","Non-Hispanic White","RACEWHT","18"
"9840","2012","IA","Iowa","BRFSS","Obesity / Weight Status","30.2","6,289","Non-Hispanic White","RACEWHT","19"
"26986","2012","KS","Kansas","BRFSS","Obesity / Weight Status","29","9,892","Non-Hispanic White","RACEWHT","20"
"36437","2012","KY","Kentucky","BRFSS","Obesity / Weight Status","30.6","8,947","Non-Hispanic White","RACEWHT","21"
"5846","2012","LA","Louisiana","BRFSS","Obesity / Weight Status","30","5,706","Non-Hispanic White","RACEWHT","22"
"33843","2012","ME","Maine","BRFSS","Obesity / Weight Status","28.4","8,974","Non-Hispanic White","RACEWHT","23"
"12394","2012","MD","Maryland","BRFSS","Obesity / Weight Status","24.5","8,642","Non-Hispanic White","RACEWHT","24"
"27012","2012","MA","Massachusetts","BRFSS","Obesity / Weight Status","22.2","15,680","Non-Hispanic White","RACEWHT","25"
"39191","2012","MI","Michigan","BRFSS","Obesity / Weight Status","29.9","7,628","Non-Hispanic White","RACEWHT","26"
"25167","2012","MN","Minnesota","BRFSS","Obesity / Weight Status","25.4","10,211","Non-Hispanic White","RACEWHT","27"
"37708","2012","MS","Mississippi","BRFSS","Obesity / Weight Status","30.2","4,698","Non-Hispanic White","RACEWHT","28"
"30214","2012","MO","Missouri","BRFSS","Obesity / Weight Status","27.8","5,207","Non-Hispanic White","RACEWHT","29"
"3901","2012","MT","Montana","BRFSS","Obesity / Weight Status","23","7,308","Non-Hispanic White","RACEWHT","30"
"16444","2012","NE","Nebraska","BRFSS","Obesity / Weight Status","28.3","16,725","Non-Hispanic White","RACEWHT","31"
"9352","2012","NV","Nevada","BRFSS","Obesity / Weight Status","25.7","3,283","Non-Hispanic White","RACEWHT","32"
"7622","2012","NH","New Hampshire","BRFSS","Obesity / Weight Status","27.7","6,734","Non-Hispanic White","RACEWHT","33"
"17405","2012","NJ","New Jersey","BRFSS","Obesity / Weight Status","24.1","9,996","Non-Hispanic White","RACEWHT","34"
"31386","2012","NM","New Mexico","BRFSS","Obesity / Weight Status","22.1","4,485","Non-Hispanic White","RACEWHT","35"
"23764","2012","NY","New York","BRFSS","Obesity / Weight Status","23.2","4,140","Non-Hispanic White","RACEWHT","36"
"5409","2012","NC","North Carolina","BRFSS","Obesity / Weight Status","26.5","7,688","Non-Hispanic White","RACEWHT","37"
"4733","2012","ND","North Dakota","BRFSS","Obesity / Weight Status","29.1","4,286","Non-Hispanic White","RACEWHT","38"
"21768","2012","OH","Ohio","BRFSS","Obesity / Weight Status","29.2","10,575","Non-Hispanic White","RACEWHT","39"
"38670","2012","OK","Oklahoma","BRFSS","Obesity / Weight Status","31","5,822","Non-Hispanic White","RACEWHT","40"
"36149","2012","OR","Oregon","BRFSS","Obesity / Weight Status","26.7","4,218","Non-Hispanic White","RACEWHT","41"
"8806","2012","PA","Pennsylvania","BRFSS","Obesity / Weight Status","28.4","16,222","Non-Hispanic White","RACEWHT","42"
"32692","2012","RI","Rhode Island","BRFSS","Obesity / Weight Status","26.3","4,395","Non-Hispanic White","RACEWHT","44"
"18771","2012","SC","South Carolina","BRFSS","Obesity / Weight Status","27.8","8,032","Non-Hispanic White","RACEWHT","45"
"16653","2012","SD","South Dakota","BRFSS","Obesity / Weight Status","27.8","6,383","Non-Hispanic White","RACEWHT","46"
"23443","2012","TN","Tennessee","BRFSS","Obesity / Weight Status","29.6","5,457","Non-Hispanic White","RACEWHT","47"
"39815","2012","TX","Texas","BRFSS","Obesity / Weight Status","25.2","5,091","Non-Hispanic White","RACEWHT","48"
"14356","2012","UT","Utah","BRFSS","Obesity / Weight Status","24.4","10,433","Non-Hispanic White","RACEWHT","49"
"15879","2012","VT","Vermont","BRFSS","Obesity / Weight Status","23.7","5,450","Non-Hispanic White","RACEWHT","50"
"2994","2012","VA","Virginia","BRFSS","Obesity / Weight Status","26","5,231","Non-Hispanic White","RACEWHT","51"
"21421","2012","WA","Washington","BRFSS","Obesity / Weight Status","27.5","12,418","Non-Hispanic White","RACEWHT","53"
"29357","2012","WV","West Virginia","BRFSS","Obesity / Weight Status","33.8","4,798","Non-Hispanic White","RACEWHT","54"
"23222","2012","WI","Wisconsin","BRFSS","Obesity / Weight Status","29.5","4,269","Non-Hispanic White","RACEWHT","55"
"17083","2012","WY","Wyoming","BRFSS","Obesity / Weight Status","24.3","5,443","Non-Hispanic White","RACEWHT","56"
