"ID","Description","LocationAbbr","LocationDesc","DataSource","Topic","Data_Value","Sample_Size","Stratification1","StratificationId1","LocationDisplayOrder"
"261","2012","US","National","BRFSS","Obesity / Weight Status","33.1","46,419","Less than $15,000","INCLESS15","0"
"20409","2012","AL","Alabama","BRFSS","Obesity / Weight Status","40.8","1,225","Less than $15,000","INCLESS15","1"
"28696","2012","AK","Alaska","BRFSS","Obesity / Weight Status","29.4","357","Less than $15,000","INCLESS15","2"
"39883","2012","AZ","Arizona","BRFSS","Obesity / Weight Status","31.1","848","Less than $15,000","INCLESS15","4"
"22603","2012","AR","Arkansas","BRFSS","Obesity / Weight Status","37.6","773","Less than $15,000","INCLESS15","5"
"25168","2012","CA","California","BRFSS","Obesity / Weight Status","29.9","2,152","Less than $15,000","INCLESS15","6"
"25116","2012","CO","Colorado","BRFSS","Obesity / Weight Status","23.7","953","Less than $15,000","INCLESS15","8"
"21975","2012","CT","Connecticut","BRFSS","Obesity / Weight Status","35.5","602","Less than $15,000","INCLESS15","9"
"17643","2012","DE","Delaware","BRFSS","Obesity / Weight Status","32","593","Less than $15,000","INCLESS15","10"
"32052","2012","DC","District of Columbia","BRFSS","Obesity / Weight Status","26.8","369","Less than $15,000","INCLESS15","11"
"15725","2012","FL","Florida","BRFSS","Obesity / Weight Status","28.5","882","Less than $15,000","INCLESS15","12"
"8201","2012","GA","Georgia","BRFSS","Obesity / Weight Status","32.4","723","Less than $15,000","INCLESS15","13"
"19107","2012","HI","Hawaii","BRFSS","Obesity / Weight Status","27.3","680","Less than $15,000","INCLESS15","15"
"26572","2012","ID","Idaho","BRFSS","Obesity / Weight Status","28","623","Less than $15,000","INCLESS15","16"
"13765","2012","IL","Illinois","BRFSS","Obesity / Weight Status","34.7","486","Less than $15,000","INCLESS15","17"
"16825","2012","IN","Indiana","BRFSS","Obesity / Weight Status","36.9","964","Less than $15,000","INCLESS15","18"
"30182","2012","IA","Iowa","BRFSS","Obesity / Weight Status","37.4","547","Less than $15,000","INCLESS15","19"
"9264","2012","KS","Kansas","BRFSS","Obesity / Weight Status","36.5","875","Less than $15,000","INCLESS15","20"
"23891","2012","KY","Kentucky","BRFSS","Obesity / Weight Status","34.1","1,562","Less than $15,000","INCLESS15","21"
"5070","2012","LA","Louisiana","BRFSS","Obesity / Weight Status","44.5","1,398","Less than $15,000","INCLESS15","22"
"24639","2012","ME","Maine","BRFSS","Obesity / Weight Status","34.8","1,121","Less than $15,000","INCLESS15","23"
"7678","2012","MD","Maryland","BRFSS","Obesity / Weight Status","30.3","714","Less than $15,000","INCLESS15","24"
