"ID","Description","LocationAbbr","LocationDesc","DataSource","Topic","Data_Value","Sample_Size","Stratification1","StratificationId1","LocationDisplayOrder"
"1055","2013","US","National","BRFSS","Obesity / Weight Status","31.7","8,475","2 or more races","RACE2PLUS","0"
"33453","2013","AL","Alabama","BRFSS","Obesity / Weight Status","~","~","2 or more races","RACE2PLUS","1"
"7625","2013","AK","Alaska","BRFSS","Obesity / Weight Status","23.2","184","2 or more races","RACE2PLUS","2"
"11965","2013","AZ","Arizona","BRFSS","Obesity / Weight Status","14.8","62","2 or more races","RACE2PLUS","4"
"11095","2013","AR","Arkansas","BRFSS","Obesity / Weight Status","33.9","84","2 or more races","RACE2PLUS","5"
"38727","2013","CA","California","BRFSS","Obesity / Weight Status","33.8","202","2 or more races","RACE2PLUS","6"
"14884","2013","CO","Colorado","BRFSS","Obesity / Weight Status","23.2","181","2 or more races","RACE2PLUS","8"
"32075","2013","CT","Connecticut","BRFSS","Obesity / Weight Status","33.1","65","2 or more races","RACE2PLUS","9"
"9385","2013","DE","Delaware","BRFSS","Obesity / Weight Status","22.8","65","2 or more races","RACE2PLUS","10"
"9076","2013","DC","District of Columbia","BRFSS","Obesity / Weight Status","19.1","73","2 or more races","RACE2PLUS","11"
"13286","2013","FL","Florida","BRFSS","Obesity / Weight Status","33.8","466","2 or more races","RACE2PLUS","12"
"17669","2013","GA","Georgia","BRFSS","Obesity / Weight Status","37.1","124","2 or more races","RACE2PLUS","13"
"22768","2013","HI","Hawaii","BRFSS","Obesity / Weight Status","33.9","1,841","2 or more races","RACE2PLUS","15"
"15840","2013","ID","Idaho","BRFSS","Obesity / Weight Status","41.9","74","2 or more races","RACE2PLUS","16"
"1251","2013","IL","Illinois","BRFSS","Obesity / Weight Status","26.5","68","2 or more races","RACE2PLUS","17"
"6266","2013","IN","Indiana","BRFSS","Obesity / Weight Status","37.3","111","2 or more races","RACE2PLUS","18"
"35031","2013","IA","Iowa","BRFSS","Obesity / Weight Status","~","~","2 or more races","RACE2PLUS","19"
"15473","2013","KS","Kansas","BRFSS","Obesity / Weight Status","31","343","2 or more races","RACE2PLUS","20"
"6989","2013","KY","Kentucky","BRFSS","Obesity / Weight Status","34","194","2 or more races","RACE2PLUS","21"
"35263","2013","LA","Louisiana","BRFSS","Obesity / Weight Status","~","~","2 or more races","RACE2PLUS","22"
"38868","2013","ME","Maine","BRFSS","Obesity / Weight Status","25.7","91","2 or more races","RACE2PLUS","23"
"20094","2013","MD","Maryland","BRFSS","Obesity / Weight Status","32.4","163","2 or more races","RACE2PLUS","24"
"21089","2013","MA","Massachusetts","BRFSS","Obesity / Weight Status","27.8","170","2 or more races","RACE2PLUS","25"
"18596","2013","MI","Michigan","BRFSS","Obesity / Weight Status","34.1","286","2 or more races","RACE2PLUS","26"
"12364","2013","MN","Minnesota","BRFSS","Obesity / Weight Status","19.6","100","2 or more races","RACE2PLUS","27"
"22270","2013","MS","Mississippi","BRFSS","Obesity / Weight Status","~","~","2 or more races","RACE2PLUS","28"
"2939","2013","MO","Missouri","BRFSS","Obesity / Weight Status","36.4","130","2 or more races","RACE2PLUS","29"
"32979","2013","MT","Montana","BRFSS","Obesity / Weight Status","39.9","139","2 or more races","RACE2PLUS","30"
"29359","2013","NE","Nebraska","BRFSS","Obesity / Weight Status","34.5","147","2 or more races","RACE2PLUS","31"
"38857","2013","NV","Nevada","BRFSS","Obesity / Weight Status","26.8","207","2 or more races","RACE2PLUS","32"
"11237","2013","NH","New Hampshire","BRFSS","Obesity / Weight Status","18","59","2 or more races","RACE2PLUS","33"
"38018","2013","NJ","New Jersey","BRFSS","Obesity / Weight Status","38.3","94","2 or more races","RACE2PLUS","34"
"19628","2013","NM","New Mexico","BRFSS","Obesity / Weight Status","30.9","105","2 or more races","RACE2PLUS","35"
"2903","2013","NY","New York","BRFSS","Obesity / Weight Status","28.9","82","2 or more races","RACE2PLUS","36"
"5366","2013","NC","North Carolina","BRFSS","Obesity / Weight Status","24","105","2 or more races","RACE2PLUS","37"
"12451","2013","ND","North Dakota","BRFSS","Obesity / Weight Status","~","~","2 or more races","RACE2PLUS","38"
"31296","2013","OH","Ohio","BRFSS","Obesity / Weight Status","46.1","129","2 or more races","RACE2PLUS","39"
"3200","2013","OK","Oklahoma","BRFSS","Obesity / Weight Status","29.9","541","2 or more races","RACE2PLUS","40"
"38086","2013","OR","Oregon","BRFSS","Obesity / Weight Status","36.8","291","2 or more races","RACE2PLUS","41"
"23309","2013","PA","Pennsylvania","BRFSS","Obesity / Weight Status","30.6","108","2 or more races","RACE2PLUS","42"
"24048","2013","RI","Rhode Island","BRFSS","Obesity / Weight Status","24","51","2 or more races","RACE2PLUS","44"
"14946","2013","SC","South Carolina","BRFSS","Obesity / Weight Status","38.8","151","2 or more races","RACE2PLUS","45"
"12089","2013","SD","South Dakota","BRFSS","Obesity / Weight Status","28.6","93","2 or more races","RACE2PLUS","46"
"4715","2013","TN","Tennessee","BRFSS","Obesity / Weight Status","~","~","2 or more races","RACE2PLUS","47"
"27737","2013","TX","Texas","BRFSS","Obesity / Weight Status","27.2","111","2 or more races","RACE2PLUS","48"
"18518","2013","UT","Utah","BRFSS","Obesity / Weight Status","24.7","89","2 or more races","RACE2PLUS","49"
"8246","2013","VT","Vermont","BRFSS","Obesity / Weight Status","31","80","2 or more races","RACE2PLUS","50"
"31425","2013","VA","Virginia","BRFSS","Obesity / Weight Status","30.5","108","2 or more races","RACE2PLUS","51"
"35178","2013","WA","Washington","BRFSS","Obesity / Weight Status","32.9","203","2 or more races","RACE2PLUS","53"
"32549","2013","WV","West Virginia","BRFSS","Obesity / Weight Status","34.7","123","2 or more races","RACE2PLUS","54"
