"ID","Description","LocationAbbr","LocationDesc","DataSource","Topic","Data_Value","Sample_Size","Stratification1","StratificationId1","LocationDisplayOrder"
"1044","2013","US","National","BRFSS","Obesity / Weight Status","37.8","36,815","Non-Hispanic Black","RACEBLK","0"
"3278","2013","AL","Alabama","BRFSS","Obesity / Weight Status","41.3","1,506","Non-Hispanic Black","RACEBLK","1"
"32945","2013","AK","Alaska","BRFSS","Obesity / Weight Status","39.5","65","Non-Hispanic Black","RACEBLK","2"
"4449","2013","AZ","Arizona","BRFSS","Obesity / Weight Status","34.5","89","Non-Hispanic Black","RACEBLK","4"
"7498","2013","AR","Arkansas","BRFSS","Obesity / Weight Status","46.2","742","Non-Hispanic Black","RACEBLK","5"
"38407","2013","CA","California","BRFSS","Obesity / Weight Status","34.8","486","Non-Hispanic Black","RACEBLK","6"
"33117","2013","CO","Colorado","BRFSS","Obesity / Weight Status","29.5","275","Non-Hispanic Black","RACEBLK","8"
"39388","2013","CT","Connecticut","BRFSS","Obesity / Weight Status","32.5","609","Non-Hispanic Black","RACEBLK","9"
"34393","2013","DE","Delaware","BRFSS","Obesity / Weight Status","39.3","713","Non-Hispanic Black","RACEBLK","10"
"37388","2013","DC","District of Columbia","BRFSS","Obesity / Weight Status","36.4","2,073","Non-Hispanic Black","RACEBLK","11"
"19402","2013","FL","Florida","BRFSS","Obesity / Weight Status","34.2","2,681","Non-Hispanic Black","RACEBLK","12"
"5029","2013","GA","Georgia","BRFSS","Obesity / Weight Status","38.3","1,939","Non-Hispanic Black","RACEBLK","13"
"8301","2013","HI","Hawaii","BRFSS","Obesity / Weight Status","~","~","Non-Hispanic Black","RACEBLK","15"
"25906","2013","ID","Idaho","BRFSS","Obesity / Weight Status","~","~","Non-Hispanic Black","RACEBLK","16"
"37709","2013","IL","Illinois","BRFSS","Obesity / Weight Status","37.9","459","Non-Hispanic Black","RACEBLK","17"
"30451","2013","IN","Indiana","BRFSS","Obesity / Weight Status","41.7","557","Non-Hispanic Black","RACEBLK","18"
"28557","2013","IA","Iowa","BRFSS","Obesity / Weight Status","45.2","101","Non-Hispanic Black","RACEBLK","19"
"7362","2013","KS","Kansas","BRFSS","Obesity / Weight Status","40.5","895","Non-Hispanic Black","RACEBLK","20"
"18384","2013","KY","Kentucky","BRFSS","Obesity / Weight Status","40.9","912","Non-Hispanic Black","RACEBLK","21"
"32312","2013","LA","Louisiana","BRFSS","Obesity / Weight Status","40.7","1,340","Non-Hispanic Black","RACEBLK","22"
"20388","2013","ME","Maine","BRFSS","Obesity / Weight Status","~","~","Non-Hispanic Black","RACEBLK","23"
"16099","2013","MD","Maryland","BRFSS","Obesity / Weight Status","37.3","2,421","Non-Hispanic Black","RACEBLK","24"
"34128","2013","MA","Massachusetts","BRFSS","Obesity / Weight Status","33.8","779","Non-Hispanic Black","RACEBLK","25"
"6139","2013","MI","Michigan","BRFSS","Obesity / Weight Status","39.2","998","Non-Hispanic Black","RACEBLK","26"
"20790","2013","MN","Minnesota","BRFSS","Obesity / Weight Status","32","494","Non-Hispanic Black","RACEBLK","27"
