ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
1109,2013,US,National,BRFSS,Obesity / Weight Status,24.8,2,446,Other,RACEOTH,0
17752,2013,AL,Alabama,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,1
20230,2013,AK,Alaska,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,2
6760,2013,AZ,Arizona,BRFSS,Obesity / Weight Status,23.5,52,Other,RACEOTH,4
32058,2013,AR,Arkansas,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,5
35725,2013,CA,California,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,6
31453,2013,CO,Colorado,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,8
22745,2013,CT,Connecticut,BRFSS,Obesity / Weight Status,16,68,Other,RACEOTH,9
5066,2013,DE,Delaware,BRFSS,Obesity / Weight Status,19.1,71,Other,RACEOTH,10
22728,2013,DC,District of Columbia,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,11
13942,2013,FL,Florida,BRFSS,Obesity / Weight Status,20.2,76,Other,RACEOTH,12
5063,2013,GA,Georgia,BRFSS,Obesity / Weight Status,36.7,69,Other,RACEOTH,13
4995,2013,HI,Hawaii,BRFSS,Obesity / Weight Status,23.7,71,Other,RACEOTH,15
36811,2013,ID,Idaho,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,16
13659,2013,IL,Illinois,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,17
33767,2013,IN,Indiana,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,18
21088,2013,IA,Iowa,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,19
16686,2013,KS,Kansas,BRFSS,Obesity / Weight Status,27.8,67,Other,RACEOTH,20
34169,2013,KY,Kentucky,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,21
38895,2013,LA,Louisiana,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,22
18744,2013,ME,Maine,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,23
26730,2013,MD,Maryland,BRFSS,Obesity / Weight Status,22.4,146,Other,RACEOTH,24
35870,2013,MA,Massachusetts,BRFSS,Obesity / Weight Status,17.8,143,Other,RACEOTH,25
17684,2013,MI,Michigan,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,26
27950,2013,MN,Minnesota,BRFSS,Obesity / Weight Status,37.6,143,Other,RACEOTH,27
32569,2013,MS,Mississippi,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,28
29494,2013,MO,Missouri,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,29
4435,2013,MT,Montana,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,30
27809,2013,NE,Nebraska,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,31
18897,2013,NV,Nevada,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,32
17859,2013,NH,New Hampshire,BRFSS,Obesity / Weight Status,27.8,64,Other,RACEOTH,33
27984,2013,NJ,New Jersey,BRFSS,Obesity / Weight Status,21,203,Other,RACEOTH,34
30954,2013,NM,New Mexico,BRFSS,Obesity / Weight Status,12.3,54,Other,RACEOTH,35
36433,2013,NY,New York,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,36
17007,2013,NC,North Carolina,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,37
15735,2013,ND,North Dakota,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,38
24162,2013,OH,Ohio,BRFSS,Obesity / Weight Status,33.3,117,Other,RACEOTH,39
24979,2013,OK,Oklahoma,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,40
22344,2013,OR,Oregon,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,41
33896,2013,PA,Pennsylvania,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,42
5273,2013,RI,Rhode Island,BRFSS,Obesity / Weight Status,41.5,120,Other,RACEOTH,44
21151,2013,SC,South Carolina,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,45
34550,2013,SD,South Dakota,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,46
12716,2013,TN,Tennessee,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,47
28050,2013,TX,Texas,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,48
26728,2013,UT,Utah,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,49
26773,2013,VT,Vermont,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,50
36381,2013,VA,Virginia,BRFSS,Obesity / Weight Status,30.8,72,Other,RACEOTH,51
15064,2013,WA,Washington,BRFSS,Obesity / Weight Status,31.4,119,Other,RACEOTH,53
15409,2013,WV,West Virginia,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,54
32361,2013,WI,Wisconsin,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,55
15090,2013,WY,Wyoming,BRFSS,Obesity / Weight Status,19.1,66,Other,RACEOTH,56
1094,2013,PR,Puerto Rico,BRFSS,Obesity / Weight Status,~,~,Other,RACEOTH,72
