"ID","Description","LocationAbbr","LocationDesc","DataSource","Topic","Data_Value","Sample_Size","Stratification1","StratificationId1","LocationDisplayOrder"
"518","2013","US","National","BRFSS","Obesity / Weight Status","34.1","37,398","Less than high school","EDUHS","0"
"25403","2013","AL","Alabama","BRFSS","Obesity / Weight Status","33.8","766","Less than high school","EDUHS","1"
"1466","2013","AK","Alaska","BRFSS","Obesity / Weight Status","28.2","260","Less than high school","EDUHS","2"
"2962","2013","AZ","Arizona","BRFSS","Obesity / Weight Status","42.5","349","Less than high school","EDUHS","4"
"6096","2013","AR","Arkansas","BRFSS","Obesity / Weight Status","39.6","599","Less than high school","EDUHS","5"
"12351","2013","CA","California","BRFSS","Obesity / Weight Status","34.3","1,258","Less than high school","EDUHS","6"
"11101","2013","CO","Colorado","BRFSS","Obesity / Weight Status","28.8","698","Less than high school","EDUHS","8"
"14582","2013","CT","Connecticut","BRFSS","Obesity / Weight Status","29.8","479","Less than high school","EDUHS","9"
"10740","2013","DE","Delaware","BRFSS","Obesity / Weight Status","39.3","372","Less than high school","EDUHS","10"
"25296","2013","DC","District of Columbia","BRFSS","Obesity / Weight Status","37.8","304","Less than high school","EDUHS","11"
"31963","2013","FL","Florida","BRFSS","Obesity / Weight Status","29.4","3,178","Less than high school","EDUHS","12"
"20449","2013","GA","Georgia","BRFSS","Obesity / Weight Status","35.1","839","Less than high school","EDUHS","13"
"33270","2013","HI","Hawaii","BRFSS","Obesity / Weight Status","29.3","331","Less than high school","EDUHS","15"
"15747","2013","ID","Idaho","BRFSS","Obesity / Weight Status","32.3","392","Less than high school","EDUHS","16"
"27693","2013","IL","Illinois","BRFSS","Obesity / Weight Status","31.2","346","Less than high school","EDUHS","17"
"2212","2013","IN","Indiana","BRFSS","Obesity / Weight Status","35.1","874","Less than high school","EDUHS","18"
"9255","2013","IA","Iowa","BRFSS","Obesity / Weight Status","32.2","454","Less than high school","EDUHS","19"
"32789","2013","KS","Kansas","BRFSS","Obesity / Weight Status","35.1","1,421","Less than high school","EDUHS","20"
"4401","2013","KY","Kentucky","BRFSS","Obesity / Weight Status","34.2","1,225","Less than high school","EDUHS","21"
"27482","2013","LA","Louisiana","BRFSS","Obesity / Weight Status","38.8","509","Less than high school","EDUHS","22"
"10669","2013","ME","Maine","BRFSS","Obesity / Weight Status","34.2","406","Less than high school","EDUHS","23"
"17065","2013","MD","Maryland","BRFSS","Obesity / Weight Status","30.9","793","Less than high school","EDUHS","24"
"28580","2013","MA","Massachusetts","BRFSS","Obesity / Weight Status","30.2","1,181","Less than high school","EDUHS","25"
"38817","2013","MI","Michigan","BRFSS","Obesity / Weight Status","31.5","636","Less than high school","EDUHS","26"
"22652","2013","MN","Minnesota","BRFSS","Obesity / Weight Status","27.1","544","Less than high school","EDUHS","27"
"10759","2013","MS","Mississippi","BRFSS","Obesity / Weight Status","38.7","1,101","Less than high school","EDUHS","28"
"8821","2013","MO","Missouri","BRFSS","Obesity / Weight Status","31.3","704","Less than high school","EDUHS","29"
"11900","2013","MT","Montana","BRFSS","Obesity / Weight Status","24.2","682","Less than high school","EDUHS","30"
"22309","2013","NE","Nebraska","BRFSS","Obesity / Weight Status","30.1","986","Less than high school","EDUHS","31"
"17685","2013","NV","Nevada","BRFSS","Obesity / Weight Status","27.7","327","Less than high school","EDUHS","32"
"5714","2013","NH","New Hampshire","BRFSS","Obesity / Weight Status","33.5","321","Less than high school","EDUHS","33"
"33464","2013","NJ","New Jersey","BRFSS","Obesity / Weight Status","35.5","888","Less than high school","EDUHS","34"
"36552","2013","NM","New Mexico","BRFSS","Obesity / Weight Status","34.5","1,093","Less than high school","EDUHS","35"
"33797","2013","NY","New York","BRFSS","Obesity / Weight Status","32.7","811","Less than high school","EDUHS","36"
"4186","2013","NC","North Carolina","BRFSS","Obesity / Weight Status","35.2","1,060","Less than high school","EDUHS","37"
"2458","2013","ND","North Dakota","BRFSS","Obesity / Weight Status","28.6","502","Less than high school","EDUHS","38"
"19200","2013","OH","Ohio","BRFSS","Obesity / Weight Status","36","870","Less than high school","EDUHS","39"
"10322","2013","OK","Oklahoma","BRFSS","Obesity / Weight Status","35.6","831","Less than high school","EDUHS","40"
"19595","2013","OR","Oregon","BRFSS","Obesity / Weight Status","31.4","270","Less than high school","EDUHS","41"
"10749","2013","PA","Pennsylvania","BRFSS","Obesity / Weight Status","35.1","851","Less than high school","EDUHS","42"
"32645","2013","RI","Rhode Island","BRFSS","Obesity / Weight Status","31","516","Less than high school","EDUHS","44"
"30812","2013","SC","South Carolina","BRFSS","Obesity / Weight Status","35.3","1,216","Less than high school","EDUHS","45"
"34567","2013","SD","South Dakota","BRFSS","Obesity / Weight Status","31.6","478","Less than high school","EDUHS","46"
"8422","2013","TN","Tennessee","BRFSS","Obesity / Weight Status","41.3","668","Less than high school","EDUHS","47"
"12355","2013","TX","Texas","BRFSS","Obesity / Weight Status","38.7","1,433","Less than high school","EDUHS","48"
"23846","2013","UT","Utah","BRFSS","Obesity / Weight Status","21.9","583","Less than high school","EDUHS","49"
"14360","2013","VT","Vermont","BRFSS","Obesity / Weight Status","33.6","344","Less than high school","EDUHS","50"
"34630","2013","VA","Virginia","BRFSS","Obesity / Weight Status","30.6","720","Less than high school","EDUHS","51"
"23408","2013","WA","Washington","BRFSS","Obesity / Weight Status","30.5","513","Less than high school","EDUHS","53"
"7950","2013","WV","West Virginia","BRFSS","Obesity / Weight Status","34.9","722","Less than high school","EDUHS","54"
"23514","2013","WI","Wisconsin","BRFSS","Obesity / Weight Status","36.2","381","Less than high school","EDUHS","55"
"9614","2013","WY","Wyoming","BRFSS","Obesity / Weight Status","32.1","313","Less than high school","EDUHS","56"
"472","2013","PR","Puerto Rico","BRFSS","Obesity / Weight Status","28.7","1,235","Less than high school","EDUHS","72"
