"ID","Description","LocationAbbr","LocationDesc","DataSource","Topic","Data_Value","Sample_Size","Stratification1","StratificationId1","LocationDisplayOrder"
"1438","2013","US","National","BRFSS","Obesity / Weight Status","29.8","46,125","$25,000 - $34,999","INC2535","0"
"20472","2013","AL","Alabama","BRFSS","Obesity / Weight Status","33.1","588","$25,000 - $34,999","INC2535","1"
"17170","2013","AK","Alaska","BRFSS","Obesity / Weight Status","24.5","353","$25,000 - $34,999","INC2535","2"
"5709","2013","AZ","Arizona","BRFSS","Obesity / Weight Status","25.5","447","$25,000 - $34,999","INC2535","4"
"30663","2013","AR","Arkansas","BRFSS","Obesity / Weight Status","34.3","512","$25,000 - $34,999","INC2535","5"
"12919","2013","CA","California","BRFSS","Obesity / Weight Status","25.6","951","$25,000 - $34,999","INC2535","6"
"25234","2013","CO","Colorado","BRFSS","Obesity / Weight Status","23.3","1,209","$25,000 - $34,999","INC2535","8"
"38802","2013","CT","Connecticut","BRFSS","Obesity / Weight Status","28.6","556","$25,000 - $34,999","INC2535","9"
"3198","2013","DE","Delaware","BRFSS","Obesity / Weight Status","36.8","475","$25,000 - $34,999","INC2535","10"
"17911","2013","DC","District of Columbia","BRFSS","Obesity / Weight Status","27.5","303","$25,000 - $34,999","INC2535","11"
"31512","2013","FL","Florida","BRFSS","Obesity / Weight Status","26.5","3,659","$25,000 - $34,999","INC2535","12"
"14151","2013","GA","Georgia","BRFSS","Obesity / Weight Status","32.3","807","$25,000 - $34,999","INC2535","13"
"34481","2013","HI","Hawaii","BRFSS","Obesity / Weight Status","19.8","806","$25,000 - $34,999","INC2535","15"
"25322","2013","ID","Idaho","BRFSS","Obesity / Weight Status","32.2","690","$25,000 - $34,999","INC2535","16"
"25132","2013","IL","Illinois","BRFSS","Obesity / Weight Status","35.8","570","$25,000 - $34,999","INC2535","17"
"8544","2013","IN","Indiana","BRFSS","Obesity / Weight Status","33.7","1,081","$25,000 - $34,999","INC2535","18"
"29925","2013","IA","Iowa","BRFSS","Obesity / Weight Status","32.1","856","$25,000 - $34,999","INC2535","19"
"27301","2013","KS","Kansas","BRFSS","Obesity / Weight Status","31.1","2,409","$25,000 - $34,999","INC2535","20"
"7841","2013","KY","Kentucky","BRFSS","Obesity / Weight Status","38.3","851","$25,000 - $34,999","INC2535","21"
"3003","2013","LA","Louisiana","BRFSS","Obesity / Weight Status","28.2","519","$25,000 - $34,999","INC2535","22"
"39038","2013","ME","Maine","BRFSS","Obesity / Weight Status","30.1","858","$25,000 - $34,999","INC2535","23"
"5842","2013","MD","Maryland","BRFSS","Obesity / Weight Status","29","974","$25,000 - $34,999","INC2535","24"
"2913","2013","MA","Massachusetts","BRFSS","Obesity / Weight Status","24.1","1,166","$25,000 - $34,999","INC2535","25"
"21128","2013","MI","Michigan","BRFSS","Obesity / Weight Status","33.2","1,377","$25,000 - $34,999","INC2535","26"
"32840","2013","MN","Minnesota","BRFSS","Obesity / Weight Status","26","1,305","$25,000 - $34,999","INC2535","27"
"4951","2013","MS","Mississippi","BRFSS","Obesity / Weight Status","32.5","746","$25,000 - $34,999","INC2535","28"
"20876","2013","MO","Missouri","BRFSS","Obesity / Weight Status","36.4","754","$25,000 - $34,999","INC2535","29"
"10227","2013","MT","Montana","BRFSS","Obesity / Weight Status","22.6","1,058","$25,000 - $34,999","INC2535","30"
"14800","2013","NE","Nebraska","BRFSS","Obesity / Weight Status","30.8","1,904","$25,000 - $34,999","INC2535","31"
"11009","2013","NV","Nevada","BRFSS","Obesity / Weight Status","30.8","466","$25,000 - $34,999","INC2535","32"
"29523","2013","NH","New Hampshire","BRFSS","Obesity / Weight Status","29.5","528","$25,000 - $34,999","INC2535","33"
"35890","2013","NJ","New Jersey","BRFSS","Obesity / Weight Status","27.1","919","$25,000 - $34,999","INC2535","34"
"10864","2013","NM","New Mexico","BRFSS","Obesity / Weight Status","27.5","1,013","$25,000 - $34,999","INC2535","35"
"36225","2013","NY","New York","BRFSS","Obesity / Weight Status","25.6","756","$25,000 - $34,999","INC2535","36"
"38463","2013","NC","North Carolina","BRFSS","Obesity / Weight Status","31","830","$25,000 - $34,999","INC2535","37"
"22552","2013","ND","North Dakota","BRFSS","Obesity / Weight Status","35.1","681","$25,000 - $34,999","INC2535","38"
"23559","2013","OH","Ohio","BRFSS","Obesity / Weight Status","28.8","1,228","$25,000 - $34,999","INC2535","39"
"37153","2013","OK","Oklahoma","BRFSS","Obesity / Weight Status","31.9","862","$25,000 - $34,999","INC2535","40"
"30581","2013","OR","Oregon","BRFSS","Obesity / Weight Status","27.7","594","$25,000 - $34,999","INC2535","41"
"26974","2013","PA","Pennsylvania","BRFSS","Obesity / Weight Status","33.8","1,126","$25,000 - $34,999","INC2535","42"
"31979","2013","RI","Rhode Island","BRFSS","Obesity / Weight Status","36.1","586","$25,000 - $34,999","INC2535","44"
"36432","2013","SC","South Carolina","BRFSS","Obesity / Weight Status","33.8","1,125","$25,000 - $34,999","INC2535","45"
