"ID","Description","LocationAbbr","LocationDesc","DataSource","Topic","Data_Value","Sample_Size","Stratification1","StratificationId1","LocationDisplayOrder"
"1561","2014","US","National","BRFSS","Obesity / Weight Status","34.2","96,564","55 - 64","AGEYR5564","0"
"26776","2014","AL","Alabama","BRFSS","Obesity / Weight Status","37.4","1,886","55 - 64","AGEYR5564","1"
"4295","2014","AK","Alaska","BRFSS","Obesity / Weight Status","34.5","1,003","55 - 64","AGEYR5564","2"
"37450","2014","AZ","Arizona","BRFSS","Obesity / Weight Status","33.5","2,979","55 - 64","AGEYR5564","4"
"18473","2014","AR","Arkansas","BRFSS","Obesity / Weight Status","39.3","1,073","55 - 64","AGEYR5564","5"
"14309","2014","CA","California","BRFSS","Obesity / Weight Status","29.8","1,572","55 - 64","AGEYR5564","6"
"14005","2014","CO","Colorado","BRFSS","Obesity / Weight Status","26.1","2,927","55 - 64","AGEYR5564","8"
"2751","2014","CT","Connecticut","BRFSS","Obesity / Weight Status","31.7","1,680","55 - 64","AGEYR5564","9"
"26061","2014","DE","Delaware","BRFSS","Obesity / Weight Status","35.9","946","55 - 64","AGEYR5564","10"
"28706","2014","DC","District of Columbia","BRFSS","Obesity / Weight Status","26.5","877","55 - 64","AGEYR5564","11"
"7429","2014","FL","Florida","BRFSS","Obesity / Weight Status","28.4","1,847","55 - 64","AGEYR5564","12"
"20580","2014","GA","Georgia","BRFSS","Obesity / Weight Status","35.2","1,313","55 - 64","AGEYR5564","13"
"16430","2014","HI","Hawaii","BRFSS","Obesity / Weight Status","23.9","1,544","55 - 64","AGEYR5564","15"
"22619","2014","ID","Idaho","BRFSS","Obesity / Weight Status","31.9","1,139","55 - 64","AGEYR5564","16"
"2555","2014","IL","Illinois","BRFSS","Obesity / Weight Status","35.8","994","55 - 64","AGEYR5564","17"
"32833","2014","IN","Indiana","BRFSS","Obesity / Weight Status","37.8","2,506","55 - 64","AGEYR5564","18"
"13829","2014","IA","Iowa","BRFSS","Obesity / Weight Status","37.9","1,703","55 - 64","AGEYR5564","19"
"22339","2014","KS","Kansas","BRFSS","Obesity / Weight Status","38.4","2,906","55 - 64","AGEYR5564","20"
"12905","2014","KY","Kentucky","BRFSS","Obesity / Weight Status","37","2,604","55 - 64","AGEYR5564","21"
"21171","2014","LA","Louisiana","BRFSS","Obesity / Weight Status","40.1","1,421","55 - 64","AGEYR5564","22"
"7961","2014","ME","Maine","BRFSS","Obesity / Weight Status","31.4","2,143","55 - 64","AGEYR5564","23"
"35000","2014","MD","Maryland","BRFSS","Obesity / Weight Status","33.6","2,831","55 - 64","AGEYR5564","24"
"3998","2014","MA","Massachusetts","BRFSS","Obesity / Weight Status","27.6","3,383","55 - 64","AGEYR5564","25"
"15959","2014","MI","Michigan","BRFSS","Obesity / Weight Status","36","1,919","55 - 64","AGEYR5564","26"
"2968","2014","MN","Minnesota","BRFSS","Obesity / Weight Status","33","3,383","55 - 64","AGEYR5564","27"
"21556","2014","MS","Mississippi","BRFSS","Obesity / Weight Status","36.2","904","55 - 64","AGEYR5564","28"
"10667","2014","MO","Missouri","BRFSS","Obesity / Weight Status","32.9","1,545","55 - 64","AGEYR5564","29"
"5894","2014","MT","Montana","BRFSS","Obesity / Weight Status","27.3","1,726","55 - 64","AGEYR5564","30"
"11135","2014","NE","Nebraska","BRFSS","Obesity / Weight Status","35.9","4,603","55 - 64","AGEYR5564","31"
"23278","2014","NV","Nevada","BRFSS","Obesity / Weight Status","25.6","726","55 - 64","AGEYR5564","32"
"27832","2014","NH","New Hampshire","BRFSS","Obesity / Weight Status","28.9","1,364","55 - 64","AGEYR5564","33"
"38668","2014","NJ","New Jersey","BRFSS","Obesity / Weight Status","32.6","2,742","55 - 64","AGEYR5564","34"
"30140","2014","NM","New Mexico","BRFSS","Obesity / Weight Status","32.1","1,967","55 - 64","AGEYR5564","35"
"27498","2014","NY","New York","BRFSS","Obesity / Weight Status","32.3","1,377","55 - 64","AGEYR5564","36"
"9059","2014","NC","North Carolina","BRFSS","Obesity / Weight Status","33.8","1,440","55 - 64","AGEYR5564","37"
"36696","2014","ND","North Dakota","BRFSS","Obesity / Weight Status","36.8","1,779","55 - 64","AGEYR5564","38"
"21026","2014","OH","Ohio","BRFSS","Obesity / Weight Status","39.2","2,536","55 - 64","AGEYR5564","39"
