ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
568,2014,US,National,BRFSS,Obesity / Weight Status,28.9,425,875,Total,OVERALL,0
14460,2014,AL,Alabama,BRFSS,Obesity / Weight Status,33.5,8,190,Total,OVERALL,1
31956,2014,AK,Alaska,BRFSS,Obesity / Weight Status,29.7,4,142,Total,OVERALL,2
18116,2014,AZ,Arizona,BRFSS,Obesity / Weight Status,28.9,13,849,Total,OVERALL,4
27663,2014,AR,Arkansas,BRFSS,Obesity / Weight Status,35.9,4,886,Total,OVERALL,5
3227,2014,CA,California,BRFSS,Obesity / Weight Status,24.7,8,025,Total,OVERALL,6
12990,2014,CO,Colorado,BRFSS,Obesity / Weight Status,21.3,12,567,Total,OVERALL,8
7748,2014,CT,Connecticut,BRFSS,Obesity / Weight Status,26.3,7,237,Total,OVERALL,9
18338,2014,DE,Delaware,BRFSS,Obesity / Weight Status,30.7,3,983,Total,OVERALL,10
22131,2014,DC,District of Columbia,BRFSS,Obesity / Weight Status,21.7,3,787,Total,OVERALL,11
37846,2014,FL,Florida,BRFSS,Obesity / Weight Status,26.2,9,156,Total,OVERALL,12
36843,2014,GA,Georgia,BRFSS,Obesity / Weight Status,30.5,5,844,Total,OVERALL,13
36547,2014,HI,Hawaii,BRFSS,Obesity / Weight Status,22.1,6,905,Total,OVERALL,15
11021,2014,ID,Idaho,BRFSS,Obesity / Weight Status,28.9,5,125,Total,OVERALL,16
21804,2014,IL,Illinois,BRFSS,Obesity / Weight Status,29.3,4,835,Total,OVERALL,17
17520,2014,IN,Indiana,BRFSS,Obesity / Weight Status,32.7,10,773,Total,OVERALL,18
5939,2014,IA,Iowa,BRFSS,Obesity / Weight Status,30.9,7,572,Total,OVERALL,19
16198,2014,KS,Kansas,BRFSS,Obesity / Weight Status,31.3,12,825,Total,OVERALL,20
29807,2014,KY,Kentucky,BRFSS,Obesity / Weight Status,31.6,10,442,Total,OVERALL,21
10841,2014,LA,Louisiana,BRFSS,Obesity / Weight Status,34.9,6,366,Total,OVERALL,22
3039,2014,ME,Maine,BRFSS,Obesity / Weight Status,28.2,8,705,Total,OVERALL,23
20586,2014,MD,Maryland,BRFSS,Obesity / Weight Status,29.6,11,713,Total,OVERALL,24
33862,2014,MA,Massachusetts,BRFSS,Obesity / Weight Status,23.3,14,394,Total,OVERALL,25
19091,2014,MI,Michigan,BRFSS,Obesity / Weight Status,30.7,8,024,Total,OVERALL,26
33058,2014,MN,Minnesota,BRFSS,Obesity / Weight Status,27.6,15,309,Total,OVERALL,27
7453,2014,MS,Mississippi,BRFSS,Obesity / Weight Status,35.5,3,975,Total,OVERALL,28
7101,2014,MO,Missouri,BRFSS,Obesity / Weight Status,30.2,6,695,Total,OVERALL,29
28157,2014,MT,Montana,BRFSS,Obesity / Weight Status,26.4,7,064,Total,OVERALL,30
33831,2014,NE,Nebraska,BRFSS,Obesity / Weight Status,30.2,21,130,Total,OVERALL,31
28150,2014,NV,Nevada,BRFSS,Obesity / Weight Status,27.7,3,555,Total,OVERALL,32
29043,2014,NH,New Hampshire,BRFSS,Obesity / Weight Status,27.4,5,730,Total,OVERALL,33
27214,2014,NJ,New Jersey,BRFSS,Obesity / Weight Status,26.9,11,955,Total,OVERALL,34
31423,2014,NM,New Mexico,BRFSS,Obesity / Weight Status,28.4,8,284,Total,OVERALL,35
19120,2014,NY,New York,BRFSS,Obesity / Weight Status,27,6,325,Total,OVERALL,36
17155,2014,NC,North Carolina,BRFSS,Obesity / Weight Status,29.7,6,621,Total,OVERALL,37
2583,2014,ND,North Dakota,BRFSS,Obesity / Weight Status,32.2,7,269,Total,OVERALL,38
14307,2014,OH,Ohio,BRFSS,Obesity / Weight Status,32.6,10,313,Total,OVERALL,39
9863,2014,OK,Oklahoma,BRFSS,Obesity / Weight Status,33,8,009,Total,OVERALL,40
35279,2014,OR,Oregon,BRFSS,Obesity / Weight Status,27.9,4,919,Total,OVERALL,41
36291,2014,PA,Pennsylvania,BRFSS,Obesity / Weight Status,30.2,10,374,Total,OVERALL,42
4471,2014,RI,Rhode Island,BRFSS,Obesity / Weight Status,27,5,969,Total,OVERALL,44
23707,2014,SC,South Carolina,BRFSS,Obesity / Weight Status,32.1,10,393,Total,OVERALL,45
33096,2014,SD,South Dakota,BRFSS,Obesity / Weight Status,29.8,6,960,Total,OVERALL,46
38602,2014,TN,Tennessee,BRFSS,Obesity / Weight Status,31.2,4,793,Total,OVERALL,47
22945,2014,TX,Texas,BRFSS,Obesity / Weight Status,31.9,14,058,Total,OVERALL,48
16442,2014,UT,Utah,BRFSS,Obesity / Weight Status,25.7,13,965,Total,OVERALL,49
28229,2014,VT,Vermont,BRFSS,Obesity / Weight Status,24.8,6,068,Total,OVERALL,50
2521,2014,VA,Virginia,BRFSS,Obesity / Weight Status,28.5,8,879,Total,OVERALL,51
33708,2014,WA,Washington,BRFSS,Obesity / Weight Status,27.3,9,444,Total,OVERALL,53
24792,2014,WV,West Virginia,BRFSS,Obesity / Weight Status,35.7,5,846,Total,OVERALL,54
5752,2014,WI,Wisconsin,BRFSS,Obesity / Weight Status,31.2,6,655,Total,OVERALL,55
28136,2014,WY,Wyoming,BRFSS,Obesity / Weight Status,29.5,5,973,Total,OVERALL,56
1028,2014,GU,Guam,BRFSS,Obesity / Weight Status,28,2,352,Total,OVERALL,66
1360,2014,PR,Puerto Rico,BRFSS,Obesity / Weight Status,28.3,5,743,Total,OVERALL,72
