ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
1595,2015,US,National,BRFSS,Obesity / Weight Status,34,29,309,Less than high school,EDUHS,0
37273,2015,AL,Alabama,BRFSS,Obesity / Weight Status,38.4,888,Less than high school,EDUHS,1
32292,2015,AK,Alaska,BRFSS,Obesity / Weight Status,30.2,227,Less than high school,EDUHS,2
14729,2015,AZ,Arizona,BRFSS,Obesity / Weight Status,37.5,478,Less than high school,EDUHS,4
16331,2015,AR,Arkansas,BRFSS,Obesity / Weight Status,36.2,524,Less than high school,EDUHS,5
6727,2015,CA,California,BRFSS,Obesity / Weight Status,33.9,1,390,Less than high school,EDUHS,6
10453,2015,CO,Colorado,BRFSS,Obesity / Weight Status,28.8,756,Less than high school,EDUHS,8
25995,2015,CT,Connecticut,BRFSS,Obesity / Weight Status,34.5,690,Less than high school,EDUHS,9
1315,2015,DE,Delaware,BRFSS,Obesity / Weight Status,36.1,308,Less than high school,EDUHS,10
31809,2015,DC,District of Columbia,BRFSS,Obesity / Weight Status,40.3,213,Less than high school,EDUHS,11
4388,2015,FL,Florida,BRFSS,Obesity / Weight Status,28.7,635,Less than high school,EDUHS,12
38961,2015,GA,Georgia,BRFSS,Obesity / Weight Status,33.6,460,Less than high school,EDUHS,13
4020,2015,HI,Hawaii,BRFSS,Obesity / Weight Status,32,270,Less than high school,EDUHS,15
14222,2015,ID,Idaho,BRFSS,Obesity / Weight Status,32.8,373,Less than high school,EDUHS,16
38246,2015,IL,Illinois,BRFSS,Obesity / Weight Status,32.5,347,Less than high school,EDUHS,17
26905,2015,IN,Indiana,BRFSS,Obesity / Weight Status,26.1,437,Less than high school,EDUHS,18
27918,2015,IA,Iowa,BRFSS,Obesity / Weight Status,33.4,301,Less than high school,EDUHS,19
16224,2015,KS,Kansas,BRFSS,Obesity / Weight Status,39.3,1,244,Less than high school,EDUHS,20
27312,2015,KY,Kentucky,BRFSS,Obesity / Weight Status,36.4,815,Less than high school,EDUHS,21
30472,2015,LA,Louisiana,BRFSS,Obesity / Weight Status,40.2,531,Less than high school,EDUHS,22
26161,2015,ME,Maine,BRFSS,Obesity / Weight Status,32.4,391,Less than high school,EDUHS,23
