ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
874,2015,US,National,BRFSS,Obesity / Weight Status,29.1,176,407,Male,MALE,0
33439,2015,AL,Alabama,BRFSS,Obesity / Weight Status,34.9,2,958,Male,MALE,1
5641,2015,AK,Alaska,BRFSS,Obesity / Weight Status,29.3,1,642,Male,MALE,2
3793,2015,AZ,Arizona,BRFSS,Obesity / Weight Status,29.6,3,069,Male,MALE,4
2533,2015,AR,Arkansas,BRFSS,Obesity / Weight Status,35.1,1,839,Male,MALE,5
36323,2015,CA,California,BRFSS,Obesity / Weight Status,24.6,5,741,Male,MALE,6
7483,2015,CO,Colorado,BRFSS,Obesity / Weight Status,20.2,5,621,Male,MALE,8
14345,2015,CT,Connecticut,BRFSS,Obesity / Weight Status,26.6,4,836,Male,MALE,9
3312,2015,DE,Delaware,BRFSS,Obesity / Weight Status,28.1,1,676,Male,MALE,10
12018,2015,DC,District of Columbia,BRFSS,Obesity / Weight Status,17.6,1,485,Male,MALE,11
14394,2015,FL,Florida,BRFSS,Obesity / Weight Status,27.7,3,895,Male,MALE,12
28675,2015,GA,Georgia,BRFSS,Obesity / Weight Status,29.1,1,752,Male,MALE,13
9721,2015,HI,Hawaii,BRFSS,Obesity / Weight Status,25.5,3,289,Male,MALE,15
19755,2015,ID,Idaho,BRFSS,Obesity / Weight Status,29.8,2,420,Male,MALE,16
13822,2015,IL,Illinois,BRFSS,Obesity / Weight Status,29.7,2,266,Male,MALE,17
33027,2015,IN,Indiana,BRFSS,Obesity / Weight Status,31.9,2,494,Male,MALE,18
35242,2015,IA,Iowa,BRFSS,Obesity / Weight Status,34.8,2,589,Male,MALE,19
14931,2015,KS,Kansas,BRFSS,Obesity / Weight Status,35.1,9,669,Male,MALE,20
3409,2015,KY,Kentucky,BRFSS,Obesity / Weight Status,36.2,3,178,Male,MALE,21
34729,2015,LA,Louisiana,BRFSS,Obesity / Weight Status,35.9,1,735,Male,MALE,22
8356,2015,ME,Maine,BRFSS,Obesity / Weight Status,29.1,3,642,Male,MALE,23
32168,2015,MD,Maryland,BRFSS,Obesity / Weight Status,28,4,661,Male,MALE,24
4881,2015,MA,Massachusetts,BRFSS,Obesity / Weight Status,25.5,3,818,Male,MALE,25
11383,2015,MI,Michigan,BRFSS,Obesity / Weight Status,31.7,3,727,Male,MALE,26
36388,2015,MN,Minnesota,BRFSS,Obesity / Weight Status,27.8,7,257,Male,MALE,27
34044,2015,MS,Mississippi,BRFSS,Obesity / Weight Status,33.9,2,052,Male,MALE,28
16013,2015,MO,Missouri,BRFSS,Obesity / Weight Status,33.5,2,950,Male,MALE,29
25836,2015,MT,Montana,BRFSS,Obesity / Weight Status,23.7,2,602,Male,MALE,30
19908,2015,NE,Nebraska,BRFSS,Obesity / Weight Status,32.9,7,323,Male,MALE,31
27923,2015,NV,Nevada,BRFSS,Obesity / Weight Status,27.9,1,163,Male,MALE,32
7892,2015,NH,New Hampshire,BRFSS,Obesity / Weight Status,28,2,762,Male,MALE,33
16059,2015,NJ,New Jersey,BRFSS,Obesity / Weight Status,27.4,4,402,Male,MALE,34
6462,2015,NM,New Mexico,BRFSS,Obesity / Weight Status,29.2,2,713,Male,MALE,35
22295,2015,NY,New York,BRFSS,Obesity / Weight Status,25.8,4,917,Male,MALE,36
25675,2015,NC,North Carolina,BRFSS,Obesity / Weight Status,28.9,2,709,Male,MALE,37
35997,2015,ND,North Dakota,BRFSS,Obesity / Weight Status,34.5,2,166,Male,MALE,38
24880,2015,OH,Ohio,BRFSS,Obesity / Weight Status,31.1,4,597,Male,MALE,39
22888,2015,OK,Oklahoma,BRFSS,Obesity / Weight Status,33.7,2,674,Male,MALE,40
35841,2015,OR,Oregon,BRFSS,Obesity / Weight Status,31.1,2,262,Male,MALE,41
23079,2015,PA,Pennsylvania,BRFSS,Obesity / Weight Status,29.9,2,450,Male,MALE,42
36569,2015,RI,Rhode Island,BRFSS,Obesity / Weight Status,27.9,2,434,Male,MALE,44
4421,2015,SC,South Carolina,BRFSS,Obesity / Weight Status,30.3,4,736,Male,MALE,45
12111,2015,SD,South Dakota,BRFSS,Obesity / Weight Status,32.2,2,925,Male,MALE,46
38416,2015,TN,Tennessee,BRFSS,Obesity / Weight Status,33.1,2,234,Male,MALE,47
18734,2015,TX,Texas,BRFSS,Obesity / Weight Status,31.7,5,523,Male,MALE,48
39431,2015,UT,Utah,BRFSS,Obesity / Weight Status,24.9,5,096,Male,MALE,49
15046,2015,VT,Vermont,BRFSS,Obesity / Weight Status,24.7,2,780,Male,MALE,50
21378,2015,VA,Virginia,BRFSS,Obesity / Weight Status,28.8,3,507,Male,MALE,51
32529,2015,WA,Washington,BRFSS,Obesity / Weight Status,26.9,6,752,Male,MALE,53
9412,2015,WV,West Virginia,BRFSS,Obesity / Weight Status,37.4,2,568,Male,MALE,54
7023,2015,WI,Wisconsin,BRFSS,Obesity / Weight Status,31.2,2,648,Male,MALE,55
2946,2015,WY,Wyoming,BRFSS,Obesity / Weight Status,30.1,2,203,Male,MALE,56
541,2015,GU,Guam,BRFSS,Obesity / Weight Status,33.4,761,Male,MALE,66
1956,2015,PR,Puerto Rico,BRFSS,Obesity / Weight Status,27.8,1,914,Male,MALE,72
