ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
43795,2016,US,National,BRFSS,Obesity / Weight Status,33.1,28,666,Hispanic,RACEHIS,0
39730,2016,AL,Alabama,BRFSS,Obesity / Weight Status,29.8,76,Hispanic,RACEHIS,1
42810,2016,AK,Alaska,BRFSS,Obesity / Weight Status,29.9,85,Hispanic,RACEHIS,2
44029,2016,AZ,Arizona,BRFSS,Obesity / Weight Status,35.2,1,138,Hispanic,RACEHIS,4
42793,2016,AR,Arkansas,BRFSS,Obesity / Weight Status,29.3,96,Hispanic,RACEHIS,5
41978,2016,CA,California,BRFSS,Obesity / Weight Status,33.3,3,002,Hispanic,RACEHIS,6
39533,2016,CO,Colorado,BRFSS,Obesity / Weight Status,26.9,1,691,Hispanic,RACEHIS,8
42157,2016,CT,Connecticut,BRFSS,Obesity / Weight Status,33,902,Hispanic,RACEHIS,9
43608,2016,DE,Delaware,BRFSS,Obesity / Weight Status,27.2,278,Hispanic,RACEHIS,10
41177,2016,DC,District of Columbia,BRFSS,Obesity / Weight Status,20.8,139,Hispanic,RACEHIS,11
39672,2016,FL,Florida,BRFSS,Obesity / Weight Status,27.2,3,683,Hispanic,RACEHIS,12
41085,2016,GA,Georgia,BRFSS,Obesity / Weight Status,32.4,227,Hispanic,RACEHIS,13
43282,2016,HI,Hawaii,BRFSS,Obesity / Weight Status,31.8,539,Hispanic,RACEHIS,15
42370,2016,ID,Idaho,BRFSS,Obesity / Weight Status,30.3,254,Hispanic,RACEHIS,16
40463,2016,IL,Illinois,BRFSS,Obesity / Weight Status,36.6,425,Hispanic,RACEHIS,17
39907,2016,IN,Indiana,BRFSS,Obesity / Weight Status,26.8,330,Hispanic,RACEHIS,18
43628,2016,IA,Iowa,BRFSS,Obesity / Weight Status,27.8,191,Hispanic,RACEHIS,19
40260,2016,KS,Kansas,BRFSS,Obesity / Weight Status,32.9,493,Hispanic,RACEHIS,20
