"ID","Description","LocationAbbr","LocationDesc","DataSource","Topic","Data_Value","Sample_Size","Stratification1","StratificationId1","LocationDisplayOrder"
"39571","2016","US","National","BRFSS","Obesity / Weight Status","26.1","1,891","Other","RACEOTH","0"
"42117","2016","AL","Alabama","BRFSS","Obesity / Weight Status","~","~","Other","RACEOTH","1"
"43464","2016","AK","Alaska","BRFSS","Obesity / Weight Status","~","~","Other","RACEOTH","2"
"40943","2016","AZ","Arizona","BRFSS","Obesity / Weight Status","28.3","97","Other","RACEOTH","4"
"41954","2016","AR","Arkansas","BRFSS","Obesity / Weight Status","~","~","Other","RACEOTH","5"
"41292","2016","CA","California","BRFSS","Obesity / Weight Status","28.4","122","Other","RACEOTH","6"
"42046","2016","CO","Colorado","BRFSS","Obesity / Weight Status","35","70","Other","RACEOTH","8"
"43194","2016","CT","Connecticut","BRFSS","Obesity / Weight Status","22.8","89","Other","RACEOTH","9"
"40115","2016","DE","Delaware","BRFSS","Obesity / Weight Status","~","~","Other","RACEOTH","10"
"40312","2016","DC","District of Columbia","BRFSS","Obesity / Weight Status","32.4","60","Other","RACEOTH","11"
"39668","2016","FL","Florida","BRFSS","Obesity / Weight Status","27.9","123","Other","RACEOTH","12"
"42145","2016","GA","Georgia","BRFSS","Obesity / Weight Status","~","~","Other","RACEOTH","13"
"40157","2016","HI","Hawaii","BRFSS","Obesity / Weight Status","~","~","Other","RACEOTH","15"
"40650","2016","ID","Idaho","BRFSS","Obesity / Weight Status","~","~","Other","RACEOTH","16"
"42329","2016","IL","Illinois","BRFSS","Obesity / Weight Status","~","~","Other","RACEOTH","17"
"40073","2016","IN","Indiana","BRFSS","Obesity / Weight Status","~","~","Other","RACEOTH","18"
"43823","2016","IA","Iowa","BRFSS","Obesity / Weight Status","~","~","Other","RACEOTH","19"
"43124","2016","KS","Kansas","BRFSS","Obesity / Weight Status","~","~","Other","RACEOTH","20"
"41455","2016","KY","Kentucky","BRFSS","Obesity / Weight Status","~","~","Other","RACEOTH","21"
"41317","2016","LA","Louisiana","BRFSS","Obesity / Weight Status","~","~","Other","RACEOTH","22"
"43879","2016","ME","Maine","BRFSS","Obesity / Weight Status","~","~","Other","RACEOTH","23"
"41264","2016","MD","Maryland","BRFSS","Obesity / Weight Status","32.6","172","Other","RACEOTH","24"
"43651","2016","MA","Massachusetts","BRFSS","Obesity / Weight Status","15.9","58","Other","RACEOTH","25"
"43451","2016","MI","Michigan","BRFSS","Obesity / Weight Status","~","~","Other","RACEOTH","26"
"41646","2016","MN","Minnesota","BRFSS","Obesity / Weight Status","~","~","Other","RACEOTH","27"
"44279","2016","MS","Mississippi","BRFSS","Obesity / Weight Status","~","~","Other","RACEOTH","28"
