ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
43320,2016,US,National,BRFSS,Obesity / Weight Status,22.2,161,309,College graduate,EDUCOGRAD,0
43181,2016,AL,Alabama,BRFSS,Obesity / Weight Status,30.5,1,817,College graduate,EDUCOGRAD,1
44275,2016,AK,Alaska,BRFSS,Obesity / Weight Status,21.7,973,College graduate,EDUCOGRAD,2
39706,2016,AZ,Arizona,BRFSS,Obesity / Weight Status,22.2,4,024,College graduate,EDUCOGRAD,4
43021,2016,AR,Arkansas,BRFSS,Obesity / Weight Status,31.6,1,446,College graduate,EDUCOGRAD,5
42254,2016,CA,California,BRFSS,Obesity / Weight Status,15.1,4,531,College graduate,EDUCOGRAD,6
41859,2016,CO,Colorado,BRFSS,Obesity / Weight Status,16.9,6,187,College graduate,EDUCOGRAD,8
42334,2016,CT,Connecticut,BRFSS,Obesity / Weight Status,19.4,4,842,College graduate,EDUCOGRAD,9
42720,2016,DE,Delaware,BRFSS,Obesity / Weight Status,24.2,1,291,College graduate,EDUCOGRAD,10
40611,2016,DC,District of Columbia,BRFSS,Obesity / Weight Status,13.4,1,857,College graduate,EDUCOGRAD,11
43782,2016,FL,Florida,BRFSS,Obesity / Weight Status,21.9,10,084,College graduate,EDUCOGRAD,12
42021,2016,GA,Georgia,BRFSS,Obesity / Weight Status,23.5,1,717,College graduate,EDUCOGRAD,13
41439,2016,HI,Hawaii,BRFSS,Obesity / Weight Status,17.8,3,244,College graduate,EDUCOGRAD,15
40068,2016,ID,Idaho,BRFSS,Obesity / Weight Status,22.6,1,625,College graduate,EDUCOGRAD,16
42589,2016,IL,Illinois,BRFSS,Obesity / Weight Status,26.2,1,857,College graduate,EDUCOGRAD,17
43385,2016,IN,Indiana,BRFSS,Obesity / Weight Status,27.2,3,400,College graduate,EDUCOGRAD,18
41517,2016,IA,Iowa,BRFSS,Obesity / Weight Status,26.7,2,148,College graduate,EDUCOGRAD,19
42403,2016,KS,Kansas,BRFSS,Obesity / Weight Status,27.3,4,140,College graduate,EDUCOGRAD,20
43267,2016,KY,Kentucky,BRFSS,Obesity / Weight Status,29.4,2,926,College graduate,EDUCOGRAD,21
42059,2016,LA,Louisiana,BRFSS,Obesity / Weight Status,29.3,1,445,College graduate,EDUCOGRAD,22
41825,2016,ME,Maine,BRFSS,Obesity / Weight Status,21.9,3,673,College graduate,EDUCOGRAD,23
41478,2016,MD,Maryland,BRFSS,Obesity / Weight Status,23.2,7,581,College graduate,EDUCOGRAD,24
40032,2016,MA,Massachusetts,BRFSS,Obesity / Weight Status,18,3,629,College graduate,EDUCOGRAD,25
41192,2016,MI,Michigan,BRFSS,Obesity / Weight Status,26.2,4,040,College graduate,EDUCOGRAD,26
40618,2016,MN,Minnesota,BRFSS,Obesity / Weight Status,22.3,6,230,College graduate,EDUCOGRAD,27
41987,2016,MS,Mississippi,BRFSS,Obesity / Weight Status,32,1,378,College graduate,EDUCOGRAD,28
41337,2016,MO,Missouri,BRFSS,Obesity / Weight Status,26.6,2,018,College graduate,EDUCOGRAD,29
41712,2016,MT,Montana,BRFSS,Obesity / Weight Status,21.7,1,836,College graduate,EDUCOGRAD,30
44775,2016,NE,Nebraska,BRFSS,Obesity / Weight Status,29.5,4,259,College graduate,EDUCOGRAD,31
