"ID","Description","LocationAbbr","LocationDesc","DataSource","Topic","Data_Value","Sample_Size","Stratification1","StratificationId1","LocationDisplayOrder"
"41733","2016","US","National","BRFSS","Obesity / Weight Status","29.6","438,479","Total","OVERALL","0"
"42515","2016","AL","Alabama","BRFSS","Obesity / Weight Status","35.7","6,526","Total","OVERALL","1"
"43135","2016","AK","Alaska","BRFSS","Obesity / Weight Status","31.4","2,739","Total","OVERALL","2"
"43721","2016","AZ","Arizona","BRFSS","Obesity / Weight Status","29","10,033","Total","OVERALL","4"
"42609","2016","AR","Arkansas","BRFSS","Obesity / Weight Status","35.7","4,859","Total","OVERALL","5"
"40299","2016","CA","California","BRFSS","Obesity / Weight Status","25","10,352","Total","OVERALL","6"
"42831","2016","CO","Colorado","BRFSS","Obesity / Weight Status","22.3","13,637","Total","OVERALL","8"
"41035","2016","CT","Connecticut","BRFSS","Obesity / Weight Status","26","9,960","Total","OVERALL","9"
"40088","2016","DE","Delaware","BRFSS","Obesity / Weight Status","30.7","3,702","Total","OVERALL","10"
"42767","2016","DC","District of Columbia","BRFSS","Obesity / Weight Status","22.6","3,479","Total","OVERALL","11"
"40022","2016","FL","Florida","BRFSS","Obesity / Weight Status","27.4","33,186","Total","OVERALL","12"
"42149","2016","GA","Georgia","BRFSS","Obesity / Weight Status","31.4","4,884","Total","OVERALL","13"
"40414","2016","HI","Hawaii","BRFSS","Obesity / Weight Status","23.8","7,659","Total","OVERALL","15"
"40744","2016","ID","Idaho","BRFSS","Obesity / Weight Status","27.4","4,880","Total","OVERALL","16"
"40778","2016","IL","Illinois","BRFSS","Obesity / Weight Status","31.6","4,518","Total","OVERALL","17"
"40743","2016","IN","Indiana","BRFSS","Obesity / Weight Status","32.5","10,319","Total","OVERALL","18"
"42363","2016","IA","Iowa","BRFSS","Obesity / Weight Status","32","6,645","Total","OVERALL","19"
"40020","2016","KS","Kansas","BRFSS","Obesity / Weight Status","31.2","10,947","Total","OVERALL","20"
"42035","2016","KY","Kentucky","BRFSS","Obesity / Weight Status","34.2","9,583","Total","OVERALL","21"
"42871","2016","LA","Louisiana","BRFSS","Obesity / Weight Status","35.5","4,868","Total","OVERALL","22"
"43974","2016","ME","Maine","BRFSS","Obesity / Weight Status","29.9","9,554","Total","OVERALL","23"
"40776","2016","MD","Maryland","BRFSS","Obesity / Weight Status","29.9","16,701","Total","OVERALL","24"
"41018","2016","MA","Massachusetts","BRFSS","Obesity / Weight Status","23.6","7,480","Total","OVERALL","25"
"43809","2016","MI","Michigan","BRFSS","Obesity / Weight Status","32.5","11,130","Total","OVERALL","26"
"43534","2016","MN","Minnesota","BRFSS","Obesity / Weight Status","27.8","15,420","Total","OVERALL","27"
"41739","2016","MS","Mississippi","BRFSS","Obesity / Weight Status","37.3","4,821","Total","OVERALL","28"
