ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
50104,2017,US,National,BRFSS,Obesity / Weight Status,11.2,8,466,Asian,RACEASN,0
53733,2017,AL,Alabama,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,1
53103,2017,AK,Alaska,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,2
57029,2017,AZ,Arizona,BRFSS,Obesity / Weight Status,8.6,223,Asian,RACEASN,4
53037,2017,AR,Arkansas,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,5
50229,2017,CA,California,BRFSS,Obesity / Weight Status,9.7,635,Asian,RACEASN,6
57539,2017,CO,Colorado,BRFSS,Obesity / Weight Status,6.6,145,Asian,RACEASN,8
54982,2017,CT,Connecticut,BRFSS,Obesity / Weight Status,10,207,Asian,RACEASN,9
51222,2017,DE,Delaware,BRFSS,Obesity / Weight Status,7.7,75,Asian,RACEASN,10
55987,2017,DC,District of Columbia,BRFSS,Obesity / Weight Status,2.4,73,Asian,RACEASN,11
48597,2017,FL,Florida,BRFSS,Obesity / Weight Status,6.5,194,Asian,RACEASN,12
46152,2017,GA,Georgia,BRFSS,Obesity / Weight Status,14.3,106,Asian,RACEASN,13
56726,2017,HI,Hawaii,BRFSS,Obesity / Weight Status,16.1,2,214,Asian,RACEASN,15
57685,2017,ID,Idaho,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,16
56632,2017,IL,Illinois,BRFSS,Obesity / Weight Status,10.6,182,Asian,RACEASN,17
54912,2017,IN,Indiana,BRFSS,Obesity / Weight Status,13.9,129,Asian,RACEASN,18
54594,2017,IA,Iowa,BRFSS,Obesity / Weight Status,23.9,72,Asian,RACEASN,19
49770,2017,KS,Kansas,BRFSS,Obesity / Weight Status,13.2,212,Asian,RACEASN,20
56161,2017,KY,Kentucky,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,21
46987,2017,LA,Louisiana,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,22
44531,2017,ME,Maine,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,23
44424,2017,MD,Maryland,BRFSS,Obesity / Weight Status,7.4,272,Asian,RACEASN,24
45762,2017,MA,Massachusetts,BRFSS,Obesity / Weight Status,10.1,191,Asian,RACEASN,25
48295,2017,MI,Michigan,BRFSS,Obesity / Weight Status,17.1,153,Asian,RACEASN,26
46210,2017,MN,Minnesota,BRFSS,Obesity / Weight Status,16.7,266,Asian,RACEASN,27
57712,2017,MS,Mississippi,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,28
56252,2017,MO,Missouri,BRFSS,Obesity / Weight Status,10.1,78,Asian,RACEASN,29
51706,2017,MT,Montana,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,30
53458,2017,NE,Nebraska,BRFSS,Obesity / Weight Status,4.1,59,Asian,RACEASN,31
46430,2017,NV,Nevada,BRFSS,Obesity / Weight Status,25.2,100,Asian,RACEASN,32
54310,2017,NH,New Hampshire,BRFSS,Obesity / Weight Status,6.9,53,Asian,RACEASN,33
49650,2017,NJ,New Jersey,BRFSS,Obesity / Weight Status,10.3,378,Asian,RACEASN,34
58074,2017,NM,New Mexico,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,35
53275,2017,NY,New York,BRFSS,Obesity / Weight Status,12.2,455,Asian,RACEASN,36
45039,2017,NC,North Carolina,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,37
51503,2017,ND,North Dakota,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,38
52492,2017,OH,Ohio,BRFSS,Obesity / Weight Status,18.2,114,Asian,RACEASN,39
52547,2017,OK,Oklahoma,BRFSS,Obesity / Weight Status,15.4,52,Asian,RACEASN,40
57640,2017,OR,Oregon,BRFSS,Obesity / Weight Status,8.7,68,Asian,RACEASN,41
46670,2017,PA,Pennsylvania,BRFSS,Obesity / Weight Status,8.1,147,Asian,RACEASN,42
52725,2017,RI,Rhode Island,BRFSS,Obesity / Weight Status,9.8,79,Asian,RACEASN,44
55380,2017,SC,South Carolina,BRFSS,Obesity / Weight Status,27,62,Asian,RACEASN,45
49477,2017,SD,South Dakota,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,46
45340,2017,TN,Tennessee,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,47
47156,2017,TX,Texas,BRFSS,Obesity / Weight Status,14.9,226,Asian,RACEASN,48
52474,2017,UT,Utah,BRFSS,Obesity / Weight Status,11.3,87,Asian,RACEASN,49
56426,2017,VT,Vermont,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,50
45016,2017,VA,Virginia,BRFSS,Obesity / Weight Status,7.5,209,Asian,RACEASN,51
54544,2017,WA,Washington,BRFSS,Obesity / Weight Status,9.1,393,Asian,RACEASN,53
50086,2017,WV,West Virginia,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,54
47627,2017,WI,Wisconsin,BRFSS,Obesity / Weight Status,26.7,56,Asian,RACEASN,55
57092,2017,WY,Wyoming,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,56
46309,2017,GU,Guam,BRFSS,Obesity / Weight Status,18.8,397,Asian,RACEASN,66
48430,2017,PR,Puerto Rico,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,72
55118,2017,VI,Virgin Islands,BRFSS,Obesity / Weight Status,~,~,Asian,RACEASN,78
