"ID","Description","LocationAbbr","LocationDesc","DataSource","Topic","Data_Value","Sample_Size","Stratification1","StratificationId1","LocationDisplayOrder"
"44398","2017","US","National","BRFSS","Obesity / Weight Status","32.4","27,518","Hispanic","RACEHIS","0"
"47386","2017","AL","Alabama","BRFSS","Obesity / Weight Status","34.4","75","Hispanic","RACEHIS","1"
"58083","2017","AK","Alaska","BRFSS","Obesity / Weight Status","32.3","79","Hispanic","RACEHIS","2"
"51377","2017","AZ","Arizona","BRFSS","Obesity / Weight Status","35.4","2,117","Hispanic","RACEHIS","4"
"53922","2017","AR","Arkansas","BRFSS","Obesity / Weight Status","28.5","76","Hispanic","RACEHIS","5"
"51730","2017","CA","California","BRFSS","Obesity / Weight Status","31.7","2,404","Hispanic","RACEHIS","6"
"44864","2017","CO","Colorado","BRFSS","Obesity / Weight Status","27.7","1,112","Hispanic","RACEHIS","8"
"46956","2017","CT","Connecticut","BRFSS","Obesity / Weight Status","32","715","Hispanic","RACEHIS","9"
"44113","2017","DE","Delaware","BRFSS","Obesity / Weight Status","30.3","283","Hispanic","RACEHIS","10"
"52033","2017","DC","District of Columbia","BRFSS","Obesity / Weight Status","19.2","182","Hispanic","RACEHIS","11"
"56978","2017","FL","Florida","BRFSS","Obesity / Weight Status","31.2","1,974","Hispanic","RACEHIS","12"
"48207","2017","GA","Georgia","BRFSS","Obesity / Weight Status","27.4","362","Hispanic","RACEHIS","13"
"53572","2017","HI","Hawaii","BRFSS","Obesity / Weight Status","33.9","616","Hispanic","RACEHIS","15"
"46772","2017","ID","Idaho","BRFSS","Obesity / Weight Status","37.3","273","Hispanic","RACEHIS","16"
"54129","2017","IL","Illinois","BRFSS","Obesity / Weight Status","33.6","572","Hispanic","RACEHIS","17"
"54354","2017","IN","Indiana","BRFSS","Obesity / Weight Status","29.3","513","Hispanic","RACEHIS","18"
"57531","2017","IA","Iowa","BRFSS","Obesity / Weight Status","38.1","248","Hispanic","RACEHIS","19"
"51710","2017","KS","Kansas","BRFSS","Obesity / Weight Status","37.7","837","Hispanic","RACEHIS","20"
"45035","2017","KY","Kentucky","BRFSS","Obesity / Weight Status","28.9","98","Hispanic","RACEHIS","21"
"45353","2017","LA","Louisiana","BRFSS","Obesity / Weight Status","33.2","104","Hispanic","RACEHIS","22"
"49532","2017","ME","Maine","BRFSS","Obesity / Weight Status","36.7","60","Hispanic","RACEHIS","23"
"54547","2017","MD","Maryland","BRFSS","Obesity / Weight Status","29.4","336","Hispanic","RACEHIS","24"
"45545","2017","MA","Massachusetts","BRFSS","Obesity / Weight Status","30.9","444","Hispanic","RACEHIS","25"
"46616","2017","MI","Michigan","BRFSS","Obesity / Weight Status","37.7","280","Hispanic","RACEHIS","26"
"49143","2017","MN","Minnesota","BRFSS","Obesity / Weight Status","35.8","445","Hispanic","RACEHIS","27"
