ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
54567,2017,US,National,BRFSS,Obesity / Weight Status,28.2,41,784,25 - 34,AGEYR2534,0
52640,2017,AL,Alabama,BRFSS,Obesity / Weight Status,36.3,615,25 - 34,AGEYR2534,1
56191,2017,AK,Alaska,BRFSS,Obesity / Weight Status,31.4,321,25 - 34,AGEYR2534,2
44305,2017,AZ,Arizona,BRFSS,Obesity / Weight Status,30.5,1,254,25 - 34,AGEYR2534,4
52276,2017,AR,Arkansas,BRFSS,Obesity / Weight Status,38.8,214,25 - 34,AGEYR2534,5
51955,2017,CA,California,BRFSS,Obesity / Weight Status,22.6,1,449,25 - 34,AGEYR2534,6
46124,2017,CO,Colorado,BRFSS,Obesity / Weight Status,19.1,1,051,25 - 34,AGEYR2534,8
58195,2017,CT,Connecticut,BRFSS,Obesity / Weight Status,27.2,725,25 - 34,AGEYR2534,9
52418,2017,DE,Delaware,BRFSS,Obesity / Weight Status,27.4,382,25 - 34,AGEYR2534,10
53355,2017,DC,District of Columbia,BRFSS,Obesity / Weight Status,18.3,584,25 - 34,AGEYR2534,11
56376,2017,FL,Florida,BRFSS,Obesity / Weight Status,27.6,2,184,25 - 34,AGEYR2534,12
54890,2017,GA,Georgia,BRFSS,Obesity / Weight Status,29.1,639,25 - 34,AGEYR2534,13
48765,2017,HI,Hawaii,BRFSS,Obesity / Weight Status,26.8,866,25 - 34,AGEYR2534,15
48150,2017,ID,Idaho,BRFSS,Obesity / Weight Status,29,444,25 - 34,AGEYR2534,16
57657,2017,IL,Illinois,BRFSS,Obesity / Weight Status,29.4,603,25 - 34,AGEYR2534,17
51690,2017,IN,Indiana,BRFSS,Obesity / Weight Status,31.4,1,107,25 - 34,AGEYR2534,18
53112,2017,IA,Iowa,BRFSS,Obesity / Weight Status,37.7,790,25 - 34,AGEYR2534,19
48380,2017,KS,Kansas,BRFSS,Obesity / Weight Status,31.4,2,179,25 - 34,AGEYR2534,20
50189,2017,KY,Kentucky,BRFSS,Obesity / Weight Status,35.9,814,25 - 34,AGEYR2534,21
51946,2017,LA,Louisiana,BRFSS,Obesity / Weight Status,34.9,551,25 - 34,AGEYR2534,22
50599,2017,ME,Maine,BRFSS,Obesity / Weight Status,26.9,747,25 - 34,AGEYR2534,23
45718,2017,MD,Maryland,BRFSS,Obesity / Weight Status,26.3,823,25 - 34,AGEYR2534,24
49095,2017,MA,Massachusetts,BRFSS,Obesity / Weight Status,26.1,656,25 - 34,AGEYR2534,25
58487,2017,MI,Michigan,BRFSS,Obesity / Weight Status,28.9,1,019,25 - 34,AGEYR2534,26
45155,2017,MN,Minnesota,BRFSS,Obesity / Weight Status,24.1,1,785,25 - 34,AGEYR2534,27
52163,2017,MS,Mississippi,BRFSS,Obesity / Weight Status,39.9,391,25 - 34,AGEYR2534,28
52146,2017,MO,Missouri,BRFSS,Obesity / Weight Status,30.7,701,25 - 34,AGEYR2534,29
46977,2017,MT,Montana,BRFSS,Obesity / Weight Status,22.3,556,25 - 34,AGEYR2534,30
49193,2017,NE,Nebraska,BRFSS,Obesity / Weight Status,30.6,1,561,25 - 34,AGEYR2534,31
53526,2017,NV,Nevada,BRFSS,Obesity / Weight Status,28.9,373,25 - 34,AGEYR2534,32
49112,2017,NH,New Hampshire,BRFSS,Obesity / Weight Status,29.6,348,25 - 34,AGEYR2534,33
51659,2017,NJ,New Jersey,BRFSS,Obesity / Weight Status,25.7,752,25 - 34,AGEYR2534,34
44614,2017,NM,New Mexico,BRFSS,Obesity / Weight Status,30.4,599,25 - 34,AGEYR2534,35
50178,2017,NY,New York,BRFSS,Obesity / Weight Status,22,1,359,25 - 34,AGEYR2534,36
53144,2017,NC,North Carolina,BRFSS,Obesity / Weight Status,32.6,555,25 - 34,AGEYR2534,37
57315,2017,ND,North Dakota,BRFSS,Obesity / Weight Status,31.5,640,25 - 34,AGEYR2534,38
51361,2017,OH,Ohio,BRFSS,Obesity / Weight Status,32.5,931,25 - 34,AGEYR2534,39
46028,2017,OK,Oklahoma,BRFSS,Obesity / Weight Status,31.7,628,25 - 34,AGEYR2534,40
54063,2017,OR,Oregon,BRFSS,Obesity / Weight Status,25.5,591,25 - 34,AGEYR2534,41
50222,2017,PA,Pennsylvania,BRFSS,Obesity / Weight Status,29.8,784,25 - 34,AGEYR2534,42
52096,2017,RI,Rhode Island,BRFSS,Obesity / Weight Status,30.9,458,25 - 34,AGEYR2534,44
53188,2017,SC,South Carolina,BRFSS,Obesity / Weight Status,33.7,825,25 - 34,AGEYR2534,45
44951,2017,SD,South Dakota,BRFSS,Obesity / Weight Status,32.8,622,25 - 34,AGEYR2534,46
48523,2017,TN,Tennessee,BRFSS,Obesity / Weight Status,31.1,606,25 - 34,AGEYR2534,47
54305,2017,TX,Texas,BRFSS,Obesity / Weight Status,30.6,1,201,25 - 34,AGEYR2534,48
46066,2017,UT,Utah,BRFSS,Obesity / Weight Status,21.6,1,430,25 - 34,AGEYR2534,49
56053,2017,VT,Vermont,BRFSS,Obesity / Weight Status,27.7,520,25 - 34,AGEYR2534,50
45706,2017,VA,Virginia,BRFSS,Obesity / Weight Status,28.8,890,25 - 34,AGEYR2534,51
54493,2017,WA,Washington,BRFSS,Obesity / Weight Status,25.1,1,291,25 - 34,AGEYR2534,53
50398,2017,WV,West Virginia,BRFSS,Obesity / Weight Status,35.8,450,25 - 34,AGEYR2534,54
48476,2017,WI,Wisconsin,BRFSS,Obesity / Weight Status,30.4,547,25 - 34,AGEYR2534,55
48585,2017,WY,Wyoming,BRFSS,Obesity / Weight Status,24.2,373,25 - 34,AGEYR2534,56
50085,2017,GU,Guam,BRFSS,Obesity / Weight Status,42.8,229,25 - 34,AGEYR2534,66
46580,2017,PR,Puerto Rico,BRFSS,Obesity / Weight Status,31.7,499,25 - 34,AGEYR2534,72
51980,2017,VI,Virgin Islands,BRFSS,Obesity / Weight Status,~,~,25 - 34,AGEYR2534,78
