ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
44702,2017,US,National,BRFSS,Obesity / Weight Status,35.4,88,110,55 - 64,AGEYR5564,0
48140,2017,AL,Alabama,BRFSS,Obesity / Weight Status,41.2,1,329,55 - 64,AGEYR5564,1
56986,2017,AK,Alaska,BRFSS,Obesity / Weight Status,36.2,794,55 - 64,AGEYR5564,2
45940,2017,AZ,Arizona,BRFSS,Obesity / Weight Status,33.5,2,787,55 - 64,AGEYR5564,4
55565,2017,AR,Arkansas,BRFSS,Obesity / Weight Status,40.2,1,019,55 - 64,AGEYR5564,5
51447,2017,CA,California,BRFSS,Obesity / Weight Status,31.8,1,568,55 - 64,AGEYR5564,6
44680,2017,CO,Colorado,BRFSS,Obesity / Weight Status,26.2,1,974,55 - 64,AGEYR5564,8
51490,2017,CT,Connecticut,BRFSS,Obesity / Weight Status,30,2,342,55 - 64,AGEYR5564,9
54562,2017,DE,Delaware,BRFSS,Obesity / Weight Status,37.4,803,55 - 64,AGEYR5564,10
54645,2017,DC,District of Columbia,BRFSS,Obesity / Weight Status,31.7,798,55 - 64,AGEYR5564,11
56090,2017,FL,Florida,BRFSS,Obesity / Weight Status,34.6,4,067,55 - 64,AGEYR5564,12
52825,2017,GA,Georgia,BRFSS,Obesity / Weight Status,38.5,1,087,55 - 64,AGEYR5564,13
47963,2017,HI,Hawaii,BRFSS,Obesity / Weight Status,22.2,1,505,55 - 64,AGEYR5564,15
53116,2017,ID,Idaho,BRFSS,Obesity / Weight Status,35.2,983,55 - 64,AGEYR5564,16
44899,2017,IL,Illinois,BRFSS,Obesity / Weight Status,37.8,1,039,55 - 64,AGEYR5564,17
54046,2017,IN,Indiana,BRFSS,Obesity / Weight Status,39.3,2,826,55 - 64,AGEYR5564,18
44860,2017,IA,Iowa,BRFSS,Obesity / Weight Status,43.2,1,444,55 - 64,AGEYR5564,19
54634,2017,KS,Kansas,BRFSS,Obesity / Weight Status,36.4,4,380,55 - 64,AGEYR5564,20
46571,2017,KY,Kentucky,BRFSS,Obesity / Weight Status,35.6,1,811,55 - 64,AGEYR5564,21
54741,2017,LA,Louisiana,BRFSS,Obesity / Weight Status,39.3,978,55 - 64,AGEYR5564,22
58548,2017,ME,Maine,BRFSS,Obesity / Weight Status,34,2,300,55 - 64,AGEYR5564,23
56042,2017,MD,Maryland,BRFSS,Obesity / Weight Status,35.3,2,861,55 - 64,AGEYR5564,24
