"ID","Description","LocationAbbr","LocationDesc","DataSource","Topic","Data_Value","Sample_Size","Stratification1","StratificationId1","LocationDisplayOrder"
"56476","2017","US","National","BRFSS","Obesity / Weight Status","22.7","155,016","College graduate","EDUCOGRAD","0"
"52166","2017","AL","Alabama","BRFSS","Obesity / Weight Status","31.7","1,817","College graduate","EDUCOGRAD","1"
"55353","2017","AK","Alaska","BRFSS","Obesity / Weight Status","30.7","1,138","College graduate","EDUCOGRAD","2"
"49094","2017","AZ","Arizona","BRFSS","Obesity / Weight Status","22.3","5,533","College graduate","EDUCOGRAD","4"
"54951","2017","AR","Arkansas","BRFSS","Obesity / Weight Status","27.9","1,456","College graduate","EDUCOGRAD","5"
"53262","2017","CA","California","BRFSS","Obesity / Weight Status","14.4","3,853","College graduate","EDUCOGRAD","6"
"50062","2017","CO","Colorado","BRFSS","Obesity / Weight Status","17","4,240","College graduate","EDUCOGRAD","8"
"46837","2017","CT","Connecticut","BRFSS","Obesity / Weight Status","20.5","4,620","College graduate","EDUCOGRAD","9"
"56710","2017","DE","Delaware","BRFSS","Obesity / Weight Status","27.9","1,330","College graduate","EDUCOGRAD","10"
"57396","2017","DC","District of Columbia","BRFSS","Obesity / Weight Status","15.3","2,081","College graduate","EDUCOGRAD","11"
"55640","2017","FL","Florida","BRFSS","Obesity / Weight Status","23.1","5,942","College graduate","EDUCOGRAD","12"
"46500","2017","GA","Georgia","BRFSS","Obesity / Weight Status","25.9","2,021","College graduate","EDUCOGRAD","13"
"48010","2017","HI","Hawaii","BRFSS","Obesity / Weight Status","17.8","3,130","College graduate","EDUCOGRAD","15"
"54668","2017","ID","Idaho","BRFSS","Obesity / Weight Status","24.8","1,603","College graduate","EDUCOGRAD","16"
"49003","2017","IL","Illinois","BRFSS","Obesity / Weight Status","24.2","2,289","College graduate","EDUCOGRAD","17"
"48334","2017","IN","Indiana","BRFSS","Obesity / Weight Status","28.7","4,343","College graduate","EDUCOGRAD","18"
"49992","2017","IA","Iowa","BRFSS","Obesity / Weight Status","28.9","2,420","College graduate","EDUCOGRAD","19"
"51260","2017","KS","Kansas","BRFSS","Obesity / Weight Status","27.4","7,630","College graduate","EDUCOGRAD","20"
"55581","2017","KY","Kentucky","BRFSS","Obesity / Weight Status","28.4","2,436","College graduate","EDUCOGRAD","21"
"48592","2017","LA","Louisiana","BRFSS","Obesity / Weight Status","30.2","1,422","College graduate","EDUCOGRAD","22"
"53645","2017","ME","Maine","BRFSS","Obesity / Weight Status","21.8","3,861","College graduate","EDUCOGRAD","23"
"44386","2017","MD","Maryland","BRFSS","Obesity / Weight Status","24.5","5,749","College graduate","EDUCOGRAD","24"
"56424","2017","MA","Massachusetts","BRFSS","Obesity / Weight Status","19","3,229","College graduate","EDUCOGRAD","25"
"47288","2017","MI","Michigan","BRFSS","Obesity / Weight Status","26.5","3,887","College graduate","EDUCOGRAD","26"
"53359","2017","MN","Minnesota","BRFSS","Obesity / Weight Status","22.9","6,356","College graduate","EDUCOGRAD","27"
"45333","2017","MS","Mississippi","BRFSS","Obesity / Weight Status","31.5","1,505","College graduate","EDUCOGRAD","28"
"57732","2017","MO","Missouri","BRFSS","Obesity / Weight Status","27.9","2,243","College graduate","EDUCOGRAD","29"
"45973","2017","MT","Montana","BRFSS","Obesity / Weight Status","23.1","1,774","College graduate","EDUCOGRAD","30"
"52011","2017","NE","Nebraska","BRFSS","Obesity / Weight Status","29.2","4,345","College graduate","EDUCOGRAD","31"
"54690","2017","NV","Nevada","BRFSS","Obesity / Weight Status","19.9","1,168","College graduate","EDUCOGRAD","32"
"50037","2017","NH","New Hampshire","BRFSS","Obesity / Weight Status","22.1","2,279","College graduate","EDUCOGRAD","33"
"50238","2017","NJ","New Jersey","BRFSS","Obesity / Weight Status","19.2","4,665","College graduate","EDUCOGRAD","34"
"57667","2017","NM","New Mexico","BRFSS","Obesity / Weight Status","24.3","2,041","College graduate","EDUCOGRAD","35"
"50504","2017","NY","New York","BRFSS","Obesity / Weight Status","18.7","4,833","College graduate","EDUCOGRAD","36"
"47990","2017","NC","North Carolina","BRFSS","Obesity / Weight Status","24","1,631","College graduate","EDUCOGRAD","37"
"56265","2017","ND","North Dakota","BRFSS","Obesity / Weight Status","26.6","2,202","College graduate","EDUCOGRAD","38"
"47467","2017","OH","Ohio","BRFSS","Obesity / Weight Status","26.6","3,538","College graduate","EDUCOGRAD","39"
"50388","2017","OK","Oklahoma","BRFSS","Obesity / Weight Status","29.9","1,905","College graduate","EDUCOGRAD","40"
"56403","2017","OR","Oregon","BRFSS","Obesity / Weight Status","20.2","2,054","College graduate","EDUCOGRAD","41"
"56297","2017","PA","Pennsylvania","BRFSS","Obesity / Weight Status","26.1","2,472","College graduate","EDUCOGRAD","42"
"51767","2017","RI","Rhode Island","BRFSS","Obesity / Weight Status","23.5","2,277","College graduate","EDUCOGRAD","44"
"44617","2017","SC","South Carolina","BRFSS","Obesity / Weight Status","27.7","3,404","College graduate","EDUCOGRAD","45"
"51351","2017","SD","South Dakota","BRFSS","Obesity / Weight Status","27.8","2,202","College graduate","EDUCOGRAD","46"
"58323","2017","TN","Tennessee","BRFSS","Obesity / Weight Status","25.8","1,711","College graduate","EDUCOGRAD","47"
"57623","2017","TX","Texas","BRFSS","Obesity / Weight Status","25.9","4,334","College graduate","EDUCOGRAD","48"
"54396","2017","UT","Utah","BRFSS","Obesity / Weight Status","23.1","3,501","College graduate","EDUCOGRAD","49"
"47636","2017","VT","Vermont","BRFSS","Obesity / Weight Status","18.8","2,657","College graduate","EDUCOGRAD","50"
"54170","2017","VA","Virginia","BRFSS","Obesity / Weight Status","23.5","3,862","College graduate","EDUCOGRAD","51"
"46443","2017","WA","Washington","BRFSS","Obesity / Weight Status","19.8","5,256","College graduate","EDUCOGRAD","53"
"46507","2017","WV","West Virginia","BRFSS","Obesity / Weight Status","33.2","1,415","College graduate","EDUCOGRAD","54"
"46126","2017","WI","Wisconsin","BRFSS","Obesity / Weight Status","23","1,956","College graduate","EDUCOGRAD","55"
