"ID","Description","LocationAbbr","LocationDesc","DataSource","Topic","Data_Value","Sample_Size","Stratification1","StratificationId1","LocationDisplayOrder"
"58512","2017","US","National","BRFSS","Obesity / Weight Status","30","220,608","Female","FEMALE","0"
"45802","2017","AL","Alabama","BRFSS","Obesity / Weight Status","37.4","3,638","Female","FEMALE","1"
"51895","2017","AK","Alaska","BRFSS","Obesity / Weight Status","36.1","1,539","Female","FEMALE","2"
"55157","2017","AZ","Arizona","BRFSS","Obesity / Weight Status","28.8","7,518","Female","FEMALE","4"
"52050","2017","AR","Arkansas","BRFSS","Obesity / Weight Status","37.4","3,048","Female","FEMALE","5"
"54621","2017","CA","California","BRFSS","Obesity / Weight Status","25.8","4,200","Female","FEMALE","6"
"44639","2017","CO","Colorado","BRFSS","Obesity / Weight Status","23.8","4,673","Female","FEMALE","8"
"45975","2017","CT","Connecticut","BRFSS","Obesity / Weight Status","24.4","5,154","Female","FEMALE","9"
"51477","2017","DE","Delaware","BRFSS","Obesity / Weight Status","31.3","1,962","Female","FEMALE","10"
"47126","2017","DC","District of Columbia","BRFSS","Obesity / Weight Status","27.2","2,258","Female","FEMALE","11"
"57711","2017","FL","Florida","BRFSS","Obesity / Weight Status","27.3","10,822","Female","FEMALE","12"
"51293","2017","GA","Georgia","BRFSS","Obesity / Weight Status","33.6","2,966","Female","FEMALE","13"
"55008","2017","HI","Hawaii","BRFSS","Obesity / Weight Status","22.4","3,786","Female","FEMALE","15"
"57886","2017","ID","Idaho","BRFSS","Obesity / Weight Status","28.2","2,467","Female","FEMALE","16"
"50796","2017","IL","Illinois","BRFSS","Obesity / Weight Status","30.5","2,856","Female","FEMALE","17"
"52742","2017","IN","Indiana","BRFSS","Obesity / Weight Status","33.7","7,235","Female","FEMALE","18"
"45456","2017","IA","Iowa","BRFSS","Obesity / Weight Status","36.4","3,576","Female","FEMALE","19"
"57695","2017","KS","Kansas","BRFSS","Obesity / Weight Status","32.4","10,104","Female","FEMALE","20"
"58092","2017","KY","Kentucky","BRFSS","Obesity / Weight Status","32.5","4,487","Female","FEMALE","21"
"53469","2017","LA","Louisiana","BRFSS","Obesity / Weight Status","36.5","2,513","Female","FEMALE","22"
"49077","2017","ME","Maine","BRFSS","Obesity / Weight Status","26.9","5,199","Female","FEMALE","23"
"55965","2017","MD","Maryland","BRFSS","Obesity / Weight Status","32.3","7,090","Female","FEMALE","24"
"46513","2017","MA","Massachusetts","BRFSS","Obesity / Weight Status","24.2","3,349","Female","FEMALE","25"
"54618","2017","MI","Michigan","BRFSS","Obesity / Weight Status","33.2","5,470","Female","FEMALE","26"
