"ID","Description","LocationAbbr","LocationDesc","DataSource","Topic","Data_Value","Sample_Size","Stratification1","StratificationId1","LocationDisplayOrder"
"57052","2017","US","National","BRFSS","Obesity / Weight Status","26","117,332","$75,000 or greater","INC75PLUS","0"
"50692","2017","AL","Alabama","BRFSS","Obesity / Weight Status","31.9","1,234","$75,000 or greater","INC75PLUS","1"
"55250","2017","AK","Alaska","BRFSS","Obesity / Weight Status","31.8","1,152","$75,000 or greater","INC75PLUS","2"
"46726","2017","AZ","Arizona","BRFSS","Obesity / Weight Status","25","3,808","$75,000 or greater","INC75PLUS","4"
"56311","2017","AR","Arkansas","BRFSS","Obesity / Weight Status","32.2","856","$75,000 or greater","INC75PLUS","5"
"54227","2017","CA","California","BRFSS","Obesity / Weight Status","21.8","3,131","$75,000 or greater","INC75PLUS","6"
"50136","2017","CO","Colorado","BRFSS","Obesity / Weight Status","21.5","3,420","$75,000 or greater","INC75PLUS","8"
"51572","2017","CT","Connecticut","BRFSS","Obesity / Weight Status","24.4","3,867","$75,000 or greater","INC75PLUS","9"
"53955","2017","DE","Delaware","BRFSS","Obesity / Weight Status","28.9","986","$75,000 or greater","INC75PLUS","10"
"53727","2017","DC","District of Columbia","BRFSS","Obesity / Weight Status","14.6","1,506","$75,000 or greater","INC75PLUS","11"
"56286","2017","FL","Florida","BRFSS","Obesity / Weight Status","22.1","3,993","$75,000 or greater","INC75PLUS","12"
"54926","2017","GA","Georgia","BRFSS","Obesity / Weight Status","28.3","1,322","$75,000 or greater","INC75PLUS","13"
"53474","2017","HI","Hawaii","BRFSS","Obesity / Weight Status","22.8","2,490","$75,000 or greater","INC75PLUS","15"
"52194","2017","ID","Idaho","BRFSS","Obesity / Weight Status","25.3","1,129","$75,000 or greater","INC75PLUS","16"
"49346","2017","IL","Illinois","BRFSS","Obesity / Weight Status","26.8","1,870","$75,000 or greater","INC75PLUS","17"
"57583","2017","IN","Indiana","BRFSS","Obesity / Weight Status","28.6","3,318","$75,000 or greater","INC75PLUS","18"
