"ID","Description","LocationAbbr","LocationDesc","DataSource","Topic","Data_Value","Sample_Size","Stratification1","StratificationId1","LocationDisplayOrder"
"61564","2018","US","National","BRFSS","Obesity / Weight Status","33","109,407","Some college or technical school","EDUCOTEC","0"
"61178","2018","AL","Alabama","BRFSS","Obesity / Weight Status","39.2","1,725","Some college or technical school","EDUCOTEC","1"
"61205","2018","AK","Alaska","BRFSS","Obesity / Weight Status","31.8","751","Some college or technical school","EDUCOTEC","2"
"61781","2018","AZ","Arizona","BRFSS","Obesity / Weight Status","29.4","2,366","Some college or technical school","EDUCOTEC","4"
"61808","2018","AR","Arkansas","BRFSS","Obesity / Weight Status","40.5","1,273","Some college or technical school","EDUCOTEC","5"
"61835","2018","CA","California","BRFSS","Obesity / Weight Status","27.6","2,719","Some college or technical school","EDUCOTEC","6"
"61582","2018","CO","Colorado","BRFSS","Obesity / Weight Status","25.5","2,157","Some college or technical school","EDUCOTEC","8"
"61609","2018","CT","Connecticut","BRFSS","Obesity / Weight Status","28.6","2,327","Some college or technical school","EDUCOTEC","9"
"61636","2018","DE","Delaware","BRFSS","Obesity / Weight Status","35.8","1,249","Some college or technical school","EDUCOTEC","10"
"61663","2018","DC","District of Columbia","BRFSS","Obesity / Weight Status","30.3","601","Some college or technical school","EDUCOTEC","11"
"61874","2018","FL","Florida","BRFSS","Obesity / Weight Status","31","4,165","Some college or technical school","EDUCOTEC","12"
"61901","2018","GA","Georgia","BRFSS","Obesity / Weight Status","33.9","2,155","Some college or technical school","EDUCOTEC","13"
"61928","2018","HI","Hawaii","BRFSS","Obesity / Weight Status","24","2,103","Some college or technical school","EDUCOTEC","15"
"61215","2018","ID","Idaho","BRFSS","Obesity / Weight Status","33.3","1,037","Some college or technical school","EDUCOTEC","16"
"61242","2018","IL","Illinois","BRFSS","Obesity / Weight Status","35.7","1,276","Some college or technical school","EDUCOTEC","17"
"61269","2018","IN","Indiana","BRFSS","Obesity / Weight Status","34.2","1,778","Some college or technical school","EDUCOTEC","18"
"61296","2018","IA","Iowa","BRFSS","Obesity / Weight Status","36.8","2,521","Some college or technical school","EDUCOTEC","19"
"61968","2018","KS","Kansas","BRFSS","Obesity / Weight Status","37.4","2,962","Some college or technical school","EDUCOTEC","20"
"61995","2018","KY","Kentucky","BRFSS","Obesity / Weight Status","36.6","2,330","Some college or technical school","EDUCOTEC","21"
"62205","2018","LA","Louisiana","BRFSS","Obesity / Weight Status","38.2","1,188","Some college or technical school","EDUCOTEC","22"
"62232","2018","ME","Maine","BRFSS","Obesity / Weight Status","32.6","2,692","Some college or technical school","EDUCOTEC","23"
"62259","2018","MD","Maryland","BRFSS","Obesity / Weight Status","35.6","3,621","Some college or technical school","EDUCOTEC","24"
"62286","2018","MA","Massachusetts","BRFSS","Obesity / Weight Status","28.1","1,382","Some college or technical school","EDUCOTEC","25"
"62454","2018","MI","Michigan","BRFSS","Obesity / Weight Status","36","2,962","Some college or technical school","EDUCOTEC","26"
"62481","2018","MN","Minnesota","BRFSS","Obesity / Weight Status","32.7","4,745","Some college or technical school","EDUCOTEC","27"
"62508","2018","MS","Mississippi","BRFSS","Obesity / Weight Status","40.8","1,626","Some college or technical school","EDUCOTEC","28"
"62915","2018","MO","Missouri","BRFSS","Obesity / Weight Status","39.2","1,610","Some college or technical school","EDUCOTEC","29"
"62942","2018","MT","Montana","BRFSS","Obesity / Weight Status","28.5","1,466","Some college or technical school","EDUCOTEC","30"
"62969","2018","NE","Nebraska","BRFSS","Obesity / Weight Status","35.1","4,256","Some college or technical school","EDUCOTEC","31"
"62996","2018","NV","Nevada","BRFSS","Obesity / Weight Status","33.9","965","Some college or technical school","EDUCOTEC","32"
"62547","2018","NH","New Hampshire","BRFSS","Obesity / Weight Status","30.5","1,294","Some college or technical school","EDUCOTEC","33"
