"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"41765","2016","2016","2016","US","National","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","29.6","","","29.2","30.0","198,440","","","OWS","OWS1","Q036","","Gender","GEN","Male","MALE","","","","","","","","","0","","","",""
"39636","2016","2016","2016","AL","Alabama","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","36.2","","","33.8","38.6","2,711","32.840571122","-86.631860762","OWS","OWS1","Q036","","Gender","GEN","Male","MALE","","","","","","","","","1","","","",""
"41064","2016","2016","2016","AK","Alaska","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","32.3","","","28.3","36.6","1,334","64.845079957001","-147.722059036","OWS","OWS1","Q036","","Gender","GEN","Male","MALE","","","","","","","","","2","","","",""
"40939","2016","2016","2016","AZ","Arizona","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","30.2","","","28.0","32.5","4,358","34.86597028","-111.763811277","OWS","OWS1","Q036","","Gender","GEN","Male","MALE","","","","","","","","","4","","","",""
"40340","2016","2016","2016","AR","Arkansas","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","32.1","","","28.7","35.6","1,918","34.748650124","-92.274490743","OWS","OWS1","Q036","","Gender","GEN","Male","MALE","","","","","","","","","5","","","",""
"43828","2016","2016","2016","CA","California","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","24.9","","","23.4","26.4","5,098","37.638640123","-120.999999538","OWS","OWS1","Q036","","Gender","GEN","Male","MALE","","","","","","","","","6","","","",""
"41757","2016","2016","2016","CO","Colorado","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","22.4","","","21.1","23.7","6,482","38.843840757","-106.133610921","OWS","OWS1","Q036","","Gender","GEN","Male","MALE","","","","","","","","","8","","","",""
"44266","2016","2016","2016","CT","Connecticut","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","26.9","","","25.2","28.7","4,477","41.56266102","-72.649840952","OWS","OWS1","Q036","","Gender","GEN","Male","MALE","","","","","","","","","9","","","",""
"40336","2016","2016","2016","DE","Delaware","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","30.7","","","27.8","33.7","1,713","39.008830667","-75.577741168","OWS","OWS1","Q036","","Gender","GEN","Male","MALE","","","","","","","","","10","","","",""
"42812","2016","2016","2016","DC","District of Columbia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","18.0","","","15.8","20.4","1,522","38.890371385","-77.031961127","OWS","OWS1","Q036","","Gender","GEN","Male","MALE","","","","","","","","","11","","","",""
