"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"61572","2018","2018","2018","US","National","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","35.4","","","34.2","36.5","30,647","","","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","0","","","",""
"61186","2018","2018","2018","AL","Alabama","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","43.7","","","38.4","49.0","628","32.84057112200048","-86.63186076199969","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","1","","","",""
"61762","2018","2018","2018","AK","Alaska","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","34.7","","","24.0","47.3","176","64.84507995700051","-147.72205903599973","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","2","","","",""
"61789","2018","2018","2018","AZ","Arizona","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","38.7","","","30.7","47.4","667","34.865970280000454","-111.76381127699972","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","4","","","",""
"61816","2018","2018","2018","AR","Arkansas","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","50.5","","","44.2","56.8","529","34.74865012400045","-92.27449074299966","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","5","","","",""
"61843","2018","2018","2018","CA","California","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","31.4","","","28.4","34.7","1,429","37.63864012300047","-120.99999953799971","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","6","","","",""
"61590","2018","2018","2018","CO","Colorado","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","22.3","","","18.0","27.3","405","38.843840757000464","-106.13361092099967","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","8","","","",""
"61617","2018","2018","2018","CT","Connecticut","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","32.3","","","26.7","38.5","420","41.56266102000046","-72.64984095199964","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","9","","","",""
"61644","2018","2018","2018","DE","Delaware","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","37.7","","","30.9","45.0","327","39.008830667000495","-75.57774116799965","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","10","","","",""
"61855","2018","2018","2018","DC","District of Columbia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","40.9","","","34.3","47.8","359","38.89037138500049","-77.03196112699965","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","11","","","",""
"61882","2018","2018","2018","FL","Florida","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","30.7","","","25.3","36.6","1,283","28.932040377000476","-81.92896053899966","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","12","","","",""
"61909","2018","2018","2018","GA","Georgia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","43.2","","","38.4","48.1","702","32.83968109300048","-83.62758034599966","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","13","","","",""
"61936","2018","2018","2018","HI","Hawaii","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","29.4","","","23.9","35.5","535","21.304850435000446","-157.85774940299973","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","15","","","",""
"61223","2018","2018","2018","ID","Idaho","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","28.3","","","22.1","35.5","261","43.682630005000476","-114.3637300419997","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","16","","","",""
"61250","2018","2018","2018","IL","Illinois","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","35.5","","","30.1","41.2","445","40.48501028300046","-88.99771017799969","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","17","","","",""
"61277","2018","2018","2018","IN","Indiana","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","35.5","","","30.0","41.4","478","39.766910452000445","-86.14996019399968","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","18","","","",""
"61949","2018","2018","2018","IA","Iowa","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","35.7","","","30.9","40.7","484","42.46940091300047","-93.81649055599968","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","19","","","",""
"61976","2018","2018","2018","KS","Kansas","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","41.7","","","37.0","46.5","644","38.34774030000045","-98.20078122699965","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","20","","","",""
"62003","2018","2018","2018","KY","Kentucky","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","39.8","","","34.5","45.3","908","37.645970271000465","-84.77497104799966","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","21","","","",""
"62213","2018","2018","2018","LA","Louisiana","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","38.8","","","32.2","45.8","554","31.31266064400046","-92.44568007099969","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","22","","","",""
"62240","2018","2018","2018","ME","Maine","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","35.4","","","30.2","41.0","878","45.254228894000505","-68.98503133599962","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","23","","","",""
"62267","2018","2018","2018","MD","Maryland","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","36.6","","","31.3","42.2","804","39.29058096400047","-76.60926011099963","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","24","","","",""
"62294","2018","2018","2018","MA","Massachusetts","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","25.3","","","19.7","31.8","328","42.27687047000046","-72.08269067499964","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","25","","","",""
"62462","2018","2018","2018","MI","Michigan","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","37.9","","","33.4","42.6","702","44.6613195430005","-84.71439026999968","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","26","","","",""
"62489","2018","2018","2018","MN","Minnesota","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","37.8","","","33.6","42.2","755","46.35564873600049","-94.79420050299967","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","27","","","",""
"62516","2018","2018","2018","MS","Mississippi","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","46.1","","","41.2","51.0","749","32.745510099000455","-89.53803082499968","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","28","","","",""
"62923","2018","2018","2018","MO","Missouri","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","39.7","","","33.1","46.8","476","38.635790776000476","-92.56630005299968","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","29","","","",""
"62950","2018","2018","2018","MT","Montana","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","34.2","","","28.1","40.8","402","47.06652897200047","-109.42442064499971","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","30","","","",""
"62977","2018","2018","2018","NE","Nebraska","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","35.0","","","30.7","39.5","1,031","41.6410409880005","-99.36572062299967","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","31","","","",""
"63004","2018","2018","2018","NV","Nevada","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","41.3","","","32.2","51.1","196","39.493240390000494","-117.07184056399967","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","32","","","",""
"62555","2018","2018","2018","NH","New Hampshire","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","38.1","","","30.3","46.6","293","43.65595011300047","-71.50036091999965","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","33","","","",""
"62582","2018","2018","2018","NJ","New Jersey","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","36.3","","","24.5","50.0","140","40.13057004800049","-74.27369128799967","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","34","","","",""
"62609","2018","2018","2018","NM","New Mexico","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","36.4","","","32.1","41.0","806","34.52088095200048","-106.24058098499967","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","35","","","",""
"62115","2018","2018","2018","NY","New York","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","33.7","","","30.2","37.3","2,551","42.82700103200045","-75.54397042699964","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","36","","","",""
"62142","2018","2018","2018","NC","North Carolina","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","34.4","","","28.2","41.3","354","35.466220975000454","-79.15925046299964","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","37","","","",""
"62169","2018","2018","2018","ND","North Dakota","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","33.8","","","26.5","41.9","288","47.47531977900047","-100.11842104899966","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","38","","","",""
"62196","2018","2018","2018","OH","Ohio","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","36.4","","","31.8","41.3","1,041","40.06021014100048","-82.40426005599966","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","39","","","",""
"62319","2018","2018","2018","OK","Oklahoma","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","33.7","","","28.0","39.9","381","35.47203135600046","-97.52107021399968","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","40","","","",""
"62346","2018","2018","2018","OR","Oregon","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","36.5","","","30.3","43.1","409","44.56744942400047","-120.15503132599969","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","41","","","",""
"62373","2018","2018","2018","PA","Pennsylvania","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","34.4","","","28.7","40.6","394","40.79373015200048","-77.86070029399963","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","42","","","",""
"62635","2018","2018","2018","RI","Rhode Island","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","39.2","","","32.5","46.4","394","41.70828019300046","-71.52247031399963","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","44","","","",""
"62662","2018","2018","2018","SC","South Carolina","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","39.0","","","34.5","43.7","924","33.998821303000454","-81.04537120699968","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","45","","","",""
"62689","2018","2018","2018","SD","South Dakota","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","36.5","","","28.7","45.2","529","44.353130053000484","-100.3735306369997","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","46","","","",""
"62716","2018","2018","2018","TN","Tennessee","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","39.3","","","33.5","45.4","533","35.68094058000048","-85.77449091399967","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","47","","","",""
"62743","2018","2018","2018","TX","Texas","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","35.6","","","28.5","43.4","873","31.827240407000488","-99.42677020599967","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","48","","","",""
"62770","2018","2018","2018","UT","Utah","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","25.5","","","20.7","30.9","419","39.360700171000474","-111.58713063499971","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","49","","","",""
"62797","2018","2018","2018","VT","Vermont","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","34.1","","","27.4","41.4","393","43.62538123900049","-72.51764079099962","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","50","","","",""
"62824","2018","2018","2018","VA","Virginia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","36.6","","","31.5","42.1","607","37.54268067400045","-78.45789046299967","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","51","","","",""
"62851","2018","2018","2018","WA","Washington","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","34.9","","","30.4","39.8","734","47.52227862900048","-120.47001078999972","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","53","","","",""
"62878","2018","2018","2018","WV","West Virginia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","45.6","","","40.3","50.9","504","38.66551020200046","-80.71264013499967","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","54","","","",""
"62905","2018","2018","2018","WI","Wisconsin","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","35.2","","","27.7","43.6","297","44.39319117400049","-89.81637074199966","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","55","","","",""
"63028","2018","2018","2018","WY","Wyoming","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","34.2","","","27.1","42.1","228","43.23554134300048","-108.10983035299967","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","56","","","",""
"63055","2018","2018","2018","GU","Guam","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","30.3","","","20.8","41.7","203","13.444304","144.793731","OWS","OWS1","Q036","","Income","INC","Less than $15,000","INCLESS15","","","","","","","","","66","","","",""
